PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id,frame_hash
1686778,00 02 05.4,+23 24 12,G,0,0.56,0.3,122.0,NPM1G+23.0537,-625625631372819939,3010165386816267645
152,00 02 05.4,-30 37 09,G,E,0.91,0.21,144.0,MCG-5-01-025,-1086966719447791586,971724618495631722
170480,00 02 05.4,-69 08 29,G,0,0.72,0.58,165.0,0,-7560082316270113867,471627085024272375
630262,00 02 05.5,-36 58 05,G,0,0.43,0.19,172.0,0,-6156836128430078560,7403787230714396771
660003,00 02 05.5,-34 36 26,G,0,0.51,0.2,111.0,0,5071298862362508498,7043000473737179058
968619,00 02 05.7,-11 12 38,G,0,0.59,0.23,76.0,0,-1738188434603963300,-1131789432807605153
761391,00 02 05.7,-26 58 46,G,0,0.51,0.09,53.0,0,-5346228177323789712,1025185458386448849
142170,00 02 05.8,-42 40 13,G,0,0.67,0.25,6.0,0,306468199738843804,6011382825815072329
584278,00 02 05.8,-40 37 31,G,0,0.37,0.17,84.0,0,-5176275639594072961,6831546644611852091
1982097,00 02 05.8,+32 08 13,G,0,0.47,0.09,57.0,0,-3262834786706284615,-1134748626433449904
1262938,00 02 05.9,+04 03 58,G,0,0.66,0.16,64.0,0,-1797164609030026439,-7767841334696961723
687774,00 02 06.0,-32 41 06,G,0,0.62,0.49,74.0,0,7873768010258453357,-5756639635579027162
737291,00 02 06.0,-28 48 02,G,0,0.5,0.12,92.0,0,-256768970448432951,8426672261462314490
782365,00 02 06.0,-25 07 46,G,0,0.57,0.16,70.0,0,8708685024532807539,8755559225516423806
124996,00 02 06.1,-45 03 21,G,0,0.4,0.04,0.0,LCRSB235932.4-452003,-8682474530078985827,-8667571186559168300
1984204,00 02 06.2,+32 10 42,G,0,0.47,0.09,146.0,0,-2305842342511820004,5134857882252957687
275064,00 02 06.2,-70 10 47,G,0,0.62,0.34,12.0,0,-4418413881738198174,799539698918230700
660400,00 02 06.3,-34 34 32,G,0,0.42,0.14,136.0,0,-4236298222574512746,8794085852227861137
154,00 02 06.3,-10 13 07,G,Sbc,0.94,0.54,110.0,MCG-2-01-009,-6615151700017510547,3599353797550078249
436084,00 02 06.4,-52 57 52,G,0,0.57,0.5,152.0,0,-2566508746570570425,-6797899550296394981
458092,00 02 06.4,-51 15 58,G,0,0.44,0.06,11.0,0,-2780681583055385373,8439908576272200213
698032,00 02 06.4,-32 00 55,G,0,0.46,0.07,25.0,0,-1947616711189665445,4450536849184387639
631462,00 02 06.5,-36 52 49,G,0,0.39,0.05,96.0,0,-1139803116149659779,6448832027339761024
811599,00 02 06.5,-22 36 24,G,0,0.38,0.08,71.0,0,2111817904443942966,6261691589463463513
648655,00 02 06.7,-35 27 35,G,0,0.34,0.11,93.0,0,4851992961860126695,5665233833823024891
731542,00 02 06.7,-29 15 03,G,0,0.46,0.23,108.0,0,-5497216543913813516,-6758754689245550050
687991,00 02 06.7,-32 40 23,G,0,0.43,0.29,4.0,0,310996791425500689,-2038427772545195084
869175,00 02 06.8,-18 21 18,G,0,0.52,0.36,102.0,0,455834822595293515,6495305514614066362
681372,00 02 06.8,-33 04 41,G,0,0.45,0.13,49.0,0,2326397833707557474,2575002423520962427
2142265,00 02 06.9,+39 02 40,G,0,0.45,0.1,95.0,0,-1310063134549054377,-5751025064977692921
1854788,00 02 06.9,+29 04 16,G,0,0.48,0.11,130.0,0,2888887311776670724,6306924910934247538
1283583,00 02 07.0,+05 26 53,G,0,0.54,0.11,14.0,0,-5798254966791069639,4018507489009666994
2794846,00 02 07.0,-40 19 36,G,0,0.0,0.0,0.0,0,6190420891224967859,-6332887017303917418
2442151,00 02 07.0,+53 28 36,G,0,0.47,0.2,12.0,0,-44075888187108050,6350761768700837693
409287,00 02 07.1,-55 26 59,G,0,0.33,0.1,107.0,0,8202884777990529073,-1693350021675461935
675915,00 02 07.1,-33 28 19,G,0,0.45,0.04,0.0,0,-3766250841436255039,-1651582120000611134
1033832,00 02 07.2,-06 21 18,G,0,0.45,0.14,35.0,0,-5123035896956445447,8041311242549730042
1669273,00 02 07.3,+22 24 17,G,0,0.44,0.23,24.0,0,-4596572746070804793,-8564091711855732549
656708,00 02 07.3,-34 51 02,G,0,0.5,0.37,117.0,0,2587671761183258073,8277708406060523267
124818,00 02 07.5,-38 32 12,G,0,0.42,0.18,127.0,LCRSB235933.9-384855,403635504898241901,2670445292971837615
889589,00 02 07.6,-17 02 49,G,0,0.43,0.24,10.0,0,-9082929000629804487,-450081015484981891
316744,00 02 07.6,-65 03 00,G,0,0.53,0.39,114.0,0,1924727423750457765,5164240678861217234
328084,00 02 07.6,-63 53 57,G,0,0.32,0.09,86.0,0,-3910793729137901741,-1107229569301812101
543837,00 02 07.6,-43 50 56,G,0,0.32,0.1,69.0,0,-847965207857639533,-8547237234943215386
238156,00 02 07.8,-76 58 08,G,0,0.51,0.3,160.0,0,-4569429887069248191,4495283420861732710
851421,00 02 07.9,-19 43 15,G,0,0.32,0.02,0.0,0,-2209440184214784036,1658905980967051547
2146781,00 02 07.9,+39 16 29,G,0,0.38,0.06,141.0,0,-6624845795741021241,-8058879063639746617
1023154,00 02 08.0,-07 11 04,G,0,0.49,0.16,43.0,0,420230589252046346,7977620520118675919
492859,00 02 08.2,-47 59 03,G,0,0.44,0.2,180.0,0,5371567388317634348,8250817828532852325
494491,00 02 08.2,-47 52 04,G,0,0.42,0.22,141.0,0,-5803452795774207878,802386689472048138
1612674,00 02 08.3,+19 59 34,G,0,0.54,0.14,111.0,0,8959957777090557847,3224864739420209364
1587106,00 02 08.3,+19 17 23,G,0,0.56,0.15,12.0,0,7038401151858511371,-5919408167120728736
900363,00 02 08.4,-16 15 57,G,0,0.45,0.0,0.0,0,358052176477058630,-6369315711718173651
2043969,00 02 08.4,+34 06 31,G,0,0.43,0.19,56.0,0,3280281823754335691,-8770042478333087246
701114,00 02 08.4,-31 47 01,G,0,0.49,0.24,98.0,0,-6070529633663607426,-229770578739033021
954702,00 02 08.5,-12 18 33,G,0,0.42,0.16,70.0,0,1581850813826467283,2735696355392737865
546764,00 02 08.5,-43 36 28,G,0,0.44,0.32,112.0,0,1274534717554883182,-2774370597178378230
1013772,00 02 08.6,-07 44 28,G,0,0.6,0.14,53.0,0,7645158496676030807,-8414754383058788745
945773,00 02 08.6,-12 54 57,G,0,0.53,0.17,169.0,0,962235057573967377,-3357798045931546937
1348366,00 02 08.7,+08 30 51,G,0,0.58,0.05,12.0,0,1057009505947307749,-5778754743577255187
1083648,00 02 08.7,-02 45 23,G,0,0.53,0.39,121.0,0,-7252860144779557517,-1503633788553281582
750484,00 02 08.8,-27 44 34,G,0,0.44,0.31,18.0,0,-3648414736905024251,4922602552940108476
2794847,00 02 08.9,-40 17 07,G,0,0.0,0.0,0.0,0,8836117531711403206,-1062394409881307631
674150,00 02 08.9,-33 35 53,G,0,0.7,0.11,31.0,0,-5705467336402966562,3807962559013012233
761771,00 02 09.0,-26 57 08,G,0,0.56,0.41,136.0,0,3780500938998333922,-7639783047396487470
157,00 02 09.1,+31 47 59,G,Sc,0.52,0.1,147.0,KUG2359+315.9-384855,3906157980516698284,-2299103987046706775
806734,00 02 09.1,-22 57 12,G,0,0.64,0.49,4.0,0,-7520271454330086086,4150599770303802942
388458,00 02 09.2,-57 33 55,G,0,0.4,0.18,155.0,0,4942263263664758850,-1014619463356087544
425638,00 02 09.3,-53 50 12,G,0,0.63,0.32,124.0,0,6555044903060132369,-8820621014465214143
420243,00 02 09.3,-54 21 16,G,0,0.61,0.51,170.0,0,-1499381964133561426,3656490076701785679
417070,00 02 09.3,-54 40 30,G,0,0.35,0.07,107.0,0,-2581872979136995653,7833004783010493615
625183,00 02 09.3,-37 18 58,G,0,0.43,0.15,38.0,0,2530107260856669956,3327084864122380236
978454,00 02 09.3,-10 25 09,G,0,0.46,0.15,47.0,0,-7364872091784018415,3453026535300853192
158,00 02 09.4,+02 56 26,G,Irr,0.68,0.08,95.0,NGC7809               MCG0-01-019           CGCG382-18            KUG2359+026           IIIZw126              IRAS23596+0239,-7923064996272608248,6549263476395679055
