toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,frame_hash
1250.01,269.807391,64.142644,66.3631,269.807391,64.142644,8141159614918308645
1251.01,273.529238,62.858243,185.952,273.529238,62.858243,2690316489792574227
1252.01,266.686079,70.784502,123.8346,266.686079,70.784502,-4500415787223615162
1253.01,260.902889,64.862363,185.23,260.902889,64.862363,-3622022245673793235
1254.01,239.201466,65.888838,199.039,239.201466,65.888838,7687313792943728739
1255.01,296.24462,74.062858,65.9501,296.24462,74.062858,2295564310686378232
1256.01,301.346363,38.228325,,301.346363,38.228325,4235082444875643261
1257.01,303.195436,18.104778,249.325,303.195436,18.104778,2800144226719020596
1258.01,209.484313,79.583322,154.944,209.484313,79.583322,-5221354490477101199
1259.01,282.100166,79.256476,118.106,282.100166,79.256476,-2831711091026307179
126.01,339.489275,-35.154203,573.027,339.489275,-35.154203,596438056126260651
1260.01,157.144071,65.854199,73.5977,157.144071,65.854199,8880376023316808975
1260.02,157.144071,65.854199,73.5977,157.144071,65.854199,838887299108064609
1260.03,157.144071,65.854199,73.5977,157.144071,65.854199,-8791629407171766129
1261.01,268.016064,53.730699,199.964,268.016064,53.730699,541060520997657990
1262.01,180.726502,74.061009,93.2276,180.726502,74.061009,3454071262959426365
1263.01,309.353641,22.654366,46.5539,309.353641,22.654366,5404637295670297573
1264.01,287.242092,57.344126,141.755,287.242092,57.344126,-6958373177539556684
1265.01,292.24719,47.969543,341.079,292.24719,47.969543,8796312938637458079
1266.01,197.996583,65.833697,36.0118,197.996583,65.833697,7635425442269780733
1266.02,197.996583,65.833697,36.0118,197.996583,65.833697,-203727521939259836
1267.01,287.708814,47.33305,,287.708814,47.33305,5932786075868423849
1268.01,198.388583,62.30538,109.557,198.388583,62.30538,-5486013074737967501
1269.01,249.69664,64.559181,172.138,249.69664,64.559181,-4630161599032802035
1269.02,249.69664,64.559181,172.138,249.69664,64.559181,-3252210858656242540
127.01,15.551889,-61.756133,140.225,15.551889,-61.756133,5288456701110458543
1270.01,293.032494,74.891073,171.138,293.032494,74.891073,2412229375354866272
1271.01,203.509956,53.728188,92.2589,203.509956,53.728188,313747916127115337
1272.01,199.196204,49.861059,137.572,199.196204,49.861059,228500039784663288
1273.01,214.120856,58.390253,177.118,214.120856,58.390253,6395265987094140742
1274.01,254.816154,65.747438,178.141,254.816154,65.747438,-5615617412106852584
1275.01,320.201905,28.055829,138.591,320.201905,28.055829,1005698085801453204
1276.01,302.669134,40.668628,24.5209,302.669134,40.668628,7364693191600673096
1277.01,172.747799,66.796529,100.772,172.747799,66.796529,-3075867858013213727
1277.02,172.747799,66.796529,100.772,172.747799,66.796529,-903987685972690946
1278.01,320.478444,35.648625,75.5759,320.478444,35.648625,2224141573831171890
1279.01,185.062873,56.201409,107.055,185.062873,56.201409,6829323744129439040
128.01,79.520938,-80.964384,68.4727,79.520938,-80.964384,-9171696733647299204
1280.01,291.465322,61.776153,92.4381,291.465322,61.776153,655883224635516658
1281.01,199.442645,71.721051,178.259,199.442645,71.721051,-1614962613237800348
1282.01,314.268523,31.661019,444.586,314.268523,31.661019,4013971596413803705
1283.01,324.535978,30.488188,92.3831,324.535978,30.488188,-1100932759127115609
1284.01,311.513651,56.86715,110.246,311.513651,56.86715,5505929540771381509
1285.01,316.86724,46.865373,41.9934,316.86724,46.865373,2805018280529994042
1286.01,310.953619,59.576628,278.771,310.953619,59.576628,-8730979721141628587
