toi,ra,dec,st_dist,sky_coord.ra,sky_coord.dec,framework_id
1234.01,290.57223,26.319493,104.912,290.57223,26.319493,-4569556353715434218
1235.01,152.218255,69.27662,39.6345,152.218255,69.27662,-1193620303658382919
1236.01,286.040876,36.632536,159.658,286.040876,36.632536,432480193218969685
1237.01,286.638391,39.487904,243.249,286.638391,39.487904,3697219850146358548
1237.02,286.638391,39.487904,243.249,286.638391,39.487904,-2797109761746892177
1238.01,201.382339,68.836068,70.7145,201.382339,68.836068,-8259343188751019371
1238.02,201.382339,68.836068,70.7145,201.382339,68.836068,-4687539959235039065
1239.01,158.011286,84.030377,126.903,158.011286,84.030377,-6755946791609195865
124.01,66.58263,-67.806354,809.252,66.58263,-67.806354,-4641883319910735476
1205.01,127.128017,-74.954728,309.932,127.128017,-74.954728,6138233155450585615
1206.01,180.325704,-60.200439,1698.55,180.325704,-60.200439,1017600437803423149
1207.01,116.594329,-64.056009,113.758,116.594329,-64.056009,-4019675818846618309
1208.01,30.508742,-83.227962,134.757,30.508742,-83.227962,-5094920735475299719
1208.02,30.508742,-83.227962,134.757,30.508742,-83.227962,2201048966478008978
1208.03,30.508742,-83.227962,134.757,30.508742,-83.227962,-2539871551128494172
1209.01,73.541918,-70.379109,173.833,73.541918,-70.379109,2232055156615144782
121.01,331.867517,-41.815511,182.169,331.867517,-41.815511,8003704633511596053
1210.01,66.221959,-73.333516,144.133,66.221959,-73.333516,4824440375271118588
1211.01,31.178933,-73.126759,133.335,31.178933,-73.126759,-4301504602245760311
1212.01,87.874157,-70.991808,190.986,87.874157,-70.991808,7138089190822970269
1213.01,163.198824,-67.387472,161.33,163.198824,-67.387472,2526104178211829376
1214.01,285.049519,-84.448187,107.048,285.049519,-84.448187,-2227847872793155225
1215.01,146.87585,-77.296816,34.6633,146.87585,-77.296816,2142148443131010115
1216.01,87.714849,-75.688563,99.5413,87.714849,-75.688563,3403535899180287172
1217.01,193.260548,-44.09936,463.223,193.260548,-44.09936,6986651008547939010
125.04,23.593425,-66.676349,111.059,23.593425,-66.676349,3902985014689187986
1250.01,269.807391,64.142644,66.3631,269.807391,64.142644,8796087532706640103
1251.01,273.529238,62.858243,185.952,273.529238,62.858243,5660708941488863164
1252.01,266.686079,70.784502,123.8346,266.686079,70.784502,-534356264768348903
1253.01,260.902889,64.862363,185.23,260.902889,64.862363,3001729382322155483
1254.01,239.201466,65.888838,199.039,239.201466,65.888838,-6782249114836302368
1255.01,296.24462,74.062858,65.9501,296.24462,74.062858,8287288399439355067
1256.01,301.346363,38.228325,0.0,301.346363,38.228325,536071676005405863
1257.01,303.195436,18.104778,249.325,303.195436,18.104778,-2002960465202419831
1258.01,209.484313,79.583322,154.944,209.484313,79.583322,6869958897857522825
1259.01,282.100166,79.256476,118.106,282.100166,79.256476,-7355438050449426761
126.01,339.489275,-35.154203,573.027,339.489275,-35.154203,-1195033505021418315
1260.01,157.144071,65.854199,73.5977,157.144071,65.854199,-5415415044077367277
1260.02,157.144071,65.854199,73.5977,157.144071,65.854199,4999551970913647126
1260.03,157.144071,65.854199,73.5977,157.144071,65.854199,6810061365746766500
1261.01,268.016064,53.730699,199.964,268.016064,53.730699,7508524317234720449
1262.01,180.726502,74.061009,93.2276,180.726502,74.061009,-8062174250989922671
1263.01,309.353641,22.654366,46.5539,309.353641,22.654366,7258810543617854399
1264.01,287.242092,57.344126,141.755,287.242092,57.344126,1188188319688425825
1265.01,292.24719,47.969543,341.079,292.24719,47.969543,-7399103867061256441
1266.01,197.996583,65.833697,36.0118,197.996583,65.833697,-337683168139240936
1266.02,197.996583,65.833697,36.0118,197.996583,65.833697,-5369877831966029908
1267.01,287.708814,47.33305,0.0,287.708814,47.33305,-8184491030388246274
1268.01,198.388583,62.30538,109.557,198.388583,62.30538,4991845756856828284
1269.01,249.69664,64.559181,172.138,249.69664,64.559181,3331971762860030691
1269.02,249.69664,64.559181,172.138,249.69664,64.559181,-7563899268197953769
127.01,15.551889,-61.756133,140.225,15.551889,-61.756133,64831814858987665
1270.01,293.032494,74.891073,171.138,293.032494,74.891073,-6807289594923769421
1271.01,203.509956,53.728188,92.2589,203.509956,53.728188,2909035077411776670
1272.01,199.196204,49.861059,137.572,199.196204,49.861059,-1406174450772248065
1273.01,214.120856,58.390253,177.118,214.120856,58.390253,3582887803472198094
1274.01,254.816154,65.747438,178.141,254.816154,65.747438,3557642883325321964
1275.01,320.201905,28.055829,138.591,320.201905,28.055829,9195260421721969202
1276.01,302.669134,40.668628,24.5209,302.669134,40.668628,8378869255086499933
1277.01,172.747799,66.796529,100.772,172.747799,66.796529,6208311453875453282
1277.02,172.747799,66.796529,100.772,172.747799,66.796529,-3278908547134012094
1278.01,320.478444,35.648625,75.5759,320.478444,35.648625,2707820333317825699
1279.01,185.062873,56.201409,107.055,185.062873,56.201409,-7141862023214652883
128.01,79.520938,-80.964384,68.4727,79.520938,-80.964384,-3874022885979025724
1280.01,291.465322,61.776153,92.4381,291.465322,61.776153,7447212652839532277
1281.01,199.442645,71.721051,178.259,199.442645,71.721051,7943632593087885524
1282.01,314.268523,31.661019,444.586,314.268523,31.661019,-2272430511532823704
1283.01,324.535978,30.488188,92.3831,324.535978,30.488188,2472964976049412226
1284.01,311.513651,56.86715,110.246,311.513651,56.86715,6958652982223838613
1285.01,316.86724,46.865373,41.9934,316.86724,46.865373,2003551881069544626
1286.01,310.953619,59.576628,278.771,310.953619,59.576628,-5778415812361424659
1287.01,308.747621,63.474938,92.7225,308.747621,63.474938,-5957794759949372856
1288.01,313.167029,65.608783,114.865,313.167029,65.608783,-7445847376100265646
1289.01,307.210941,33.413959,89.21544,307.210941,33.413959,-3430398101141967148
1240.01,286.110305,43.680961,1086.24,286.110305,43.680961,3558844344020303218
1241.01,289.73973,44.647347,546.522,289.73973,44.647347,-5321230966706451321
1242.01,248.553295,60.195927,110.015,248.553295,60.195927,-6135558648004404942
1243.01,135.732641,71.636416,43.1865,135.732641,71.636416,7095994719778478850
1244.01,256.279559,69.519093,102.551,256.279559,69.519093,7224140884180044511
1245.01,283.53553,69.633534,80.0982,283.53553,69.633534,347949416142854671
1246.01,251.11587,70.429992,169.422,251.11587,70.429992,2334080648030899601
1246.02,251.11587,70.429992,169.422,251.11587,70.429992,2931483587463075570
1246.03,251.11587,70.429992,169.422,251.11587,70.429992,7869900595808055338
1246.04,251.11587,70.429992,169.422,251.11587,70.429992,-8858858361807820285
1247.01,227.867864,71.841296,73.8713,227.867864,71.841296,240581258548220554
