PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
1417100,00 01 08.1,+12 50 02,G,0,0.43,0.07,137.0,0,3390104439065064318
771172,00 01 08.2,-26 08 01,G,0,0.51,0.27,126.0,0,5415103692741968351
515156,00 01 08.3,-46 25 36,G,0,0.43,0.19,146.0,0,9199906077645165684
96,00 01 08.3,+06 20 16,G,Sbc,1.03,0.51,154.0,UGC12903              MCG1-01-011           CGCG408-10            KUG2358+060,-448516355923163515
130888,00 01 08.3,-38 07 35,G,SO-a,0.87,0.2,172.0,DUKST348-19,-4740519491242324749
566277,00 01 08.5,-42 15 11,G,0,0.39,0.19,44.0,0,723684821517812526
198781,00 01 08.5,-27 48 41,G,0,0.63,0.42,179.0,DUKST409-52,-2603004400354207692
1713920,00 01 08.5,+24 41 47,G,0,0.41,0.16,1.0,0,-8756619305663377183
1247913,00 01 08.5,+03 14 00,G,0,0.44,0.11,104.0,0,-2213152835515664473
846014,00 01 08.6,-20 07 27,G,0,0.5,0.38,113.0,0,3879884218152121775
728218,00 01 08.6,-29 31 56,G,0,0.62,0.06,16.0,0,-3140246241959557679
143166,00 01 08.6,-36 15 14,G,0,0.64,0.48,103.0,0,-6303736116943532705
592151,00 01 08.6,-39 56 47,G,0,0.48,0.12,134.0,0,-2761691401415762245
86,00 01 08.6,+33 06 53,G,Sc,0.62,0.07,128.0,KUG2358+328,218491411212313509
1442448,00 01 08.8,+13 51 24,G,0,0.46,0.21,160.0,0,-6283749749581162422
796464,00 01 08.9,-23 50 25,G,0,0.41,0.28,14.0,0,-1269723741015588637
1424891,00 01 08.9,+13 11 07,G,0,0.43,0.07,40.0,0,696189831593490585
951167,00 01 08.9,-12 33 09,G,0,0.4,0.23,90.0,MRC2358-128,-7684751640312469133
1652765,00 01 08.9,+21 34 11,G,0,0.52,0.31,156.0,0,-6848866499530862495
743032,00 01 09.0,-28 19 44,G,0,0.39,0.12,0.0,0,5872154031115992172
544335,00 01 09.0,-43 48 42,G,0,0.4,0.22,12.0,0,-1207605173793353383
897915,00 01 09.0,-16 27 23,G,0,0.89,0.39,97.0,0,-5181811748259925058
448617,00 01 09.1,-52 06 25,G,0,0.54,0.31,175.0,0,8693249193862089566
709225,00 01 09.1,-31 05 51,G,0,0.34,0.1,14.0,0,621874401646482362
351075,00 01 09.1,-61 55 26,G,0,0.56,0.25,13.0,0,-1848738942183816454
796311,00 01 09.1,-23 51 12,G,0,0.63,0.31,4.0,0,529890900291392185
