pl_name,hostname,pl_orbper,framework_id,frame_hash
TOI-5688 A b,TOI-5688 A,2.9479689,-4678491550640505837,-8892930207331725544
TOI-4734 b,TOI-4734,6.235633,6468132369469419693,4186387942919456398
Kepler-460 c,KIC 5437945,220.1303357,7448708287898534334,1782264804202814970
Kepler-263 b,Kepler-263,16.568087,-4722732844451265118,-905196281580547620
Kepler-947 b,Kepler-947,26.9644682703,-4353333316365578910,-453721424183141062
Kepler-121 c,Kepler-121,41.00820122,1593241509542667707,1025921711823518840
Kepler-1026 b,Kepler-1026,36.5156053,3922206000923273589,6923448469227339249
Kepler-594 b,Kepler-594,13.64618192,-1411296115642381711,-742764159679612769
HD 190360 c,HD 190360,17.11704,4948601560413395806,-8823421580181792216
Kepler-705 b,Kepler-705,56.05623,-9038620322074116480,-922715096304467054
Kepler-1146 b,Kepler-1146,2.352273912,-1464987047390047228,-3160324969246358478
Kepler-361 b,Kepler-361,0.0,-6822004709428557149,6008441593866782636
XO-5 b,XO-5,4.18775631,-3134218553255989547,-1941051316043094835
HD 136352 b,HD 136352,11.577794,5700440020115548065,4571723785906519484
TOI-2095 c,TOI-2095,28.17225006579,-5128109066648771005,6346973113355755751
TOI-1386 b,TOI-1386,25.8401,5269728711395073997,-152910718743977973
Kepler-223 d,Kepler-223,14.78767172,2374622889373819646,2209382189354060017
Kepler-371 b,Kepler-371,34.763278,-5362626797698607950,-5343232588166441550
Kepler-462 b,Kepler-462,84.69,-3263061751974894074,-8587458581466635558
Kepler-142 c,Kepler-142,4.7617051257,-7645187270502117393,856272338232827094
Kepler-1173 b,Kepler-1173,0.0,-8185836477559005272,-335591103519295045
Kepler-758 d,Kepler-758,20.4971697,-7148175457438462370,-8284968988432190991
Kepler-257 c,Kepler-257,6.581477136,-7952703981762501336,-8801940191598455856
Kepler-178 c,Kepler-178,20.55280311,-2461744675147581154,5086005196120561691
Kepler-1870 b,Kepler-1870,3.60694592,6689331526140552463,890666246555714672
Kepler-1569 b,Kepler-1569,5.79180156,-7994001611851919907,7557647804906023112
Kepler-400 b,Kepler-400,9.02436094,-6092661481762637475,5528692829160329509
Kepler-787 b,Kepler-787,0.928310498,-5225511694233048609,5874407737468219608
Kepler-1136 b,Kepler-1136,2.361718,-1390508783004750618,-2569563379622293216
HD 154391 b,HD 154391,5163.0,-8933338660206340984,-1158518185940070322
Kepler-340 c,Kepler-340,22.824669,6760970097040053346,3980362374737864256
