pl_name,hostname,pl_orbper,frame_hash
Kepler-534 c,Kepler-534,7.37862283,5505929540771381509
Kepler-147 b,Kepler-147,12.6119685,2805018280529994042
Kepler-562 b,Kepler-562,18.009314436,-8730979721141628587
Kepler-607 c,Kepler-607,39.67679977,-4526802457456413369
Kepler-351 b,Kepler-351,37.0548569,2367464969001361839
Kepler-1284 b,Kepler-1284,0.664073806,-6368123536208420997
Kepler-1728 b,Kepler-1728,4.783002698,-6560942338974984460
Kepler-11 e,Kepler-11,31.995525,-7380567018278503063
Kepler-139 e,Kepler-139,1904.0,325072968340029140
HIP 38594 c,HIP 38594,3477.768,2032142833993102204
Kepler-877 b,Kepler-877,18.45847097,3683153268818269927
K2-389 b,K2-389,8.583566,7936999005619828309
EPIC 220674823 b,EPIC 220674823,0.571282,-8892930207331725544
eps Eri b,eps Eri,2502.1,4186387942919456398
Kepler-1099 b,Kepler-1099,2.16844614,1782264804202814970
Kepler-137 b,Kepler-137,8.43638723,-905196281580547620
Kepler-58 b,Kepler-58,10.21866016,-453721424183141062
Kepler-1491 b,Kepler-1491,16.5861762,1025921711823518840
Kepler-951 b,Kepler-951,,6923448469227339249
Kepler-400 b,Kepler-400,9.024391,-742764159679612769
Kepler-18 d,Kepler-18,14.859,-8823421580181792216
Kepler-271 d,Kepler-271,5.24972541,-922715096304467054
Kepler-1913 b,Kepler-1913,14.1959621,-3160324969246358478
Kepler-1335 b,Kepler-1335,6.26406846,6008441593866782636
TOI-5688 A b,TOI-5688 A,2.9479689,-1941051316043094835
TOI-4734 b,TOI-4734,6.235633,4571723785906519484
Kepler-460 c,KIC 5437945,220.1303357,6346973113355755751
Kepler-263 b,Kepler-263,16.568087,-152910718743977973
Kepler-947 b,Kepler-947,26.9644682703,2209382189354060017
Kepler-121 c,Kepler-121,41.00820122,-5343232588166441550
Kepler-1026 b,Kepler-1026,36.5156053,-8587458581466635558
Kepler-594 b,Kepler-594,13.64618192,856272338232827094
HD 190360 c,HD 190360,17.11704,-335591103519295045
Kepler-705 b,Kepler-705,56.05623,-8284968988432190991
Kepler-1146 b,Kepler-1146,2.352273912,-8801940191598455856
Kepler-361 b,Kepler-361,,5086005196120561691
XO-5 b,XO-5,4.18775631,890666246555714672
HD 136352 b,HD 136352,11.577794,7557647804906023112
TOI-2095 c,TOI-2095,28.17225006579,5528692829160329509
TOI-1386 b,TOI-1386,25.8401,5874407737468219608
Kepler-223 d,Kepler-223,14.78767172,-2569563379622293216
Kepler-371 b,Kepler-371,34.763278,-1158518185940070322
Kepler-462 b,Kepler-462,84.69,3980362374737864256
Kepler-142 c,Kepler-142,4.7617051257,4255701849063296067
Kepler-1173 b,Kepler-1173,,-3662527514943128468
Kepler-758 d,Kepler-758,20.4971697,-4612430811379591247
