obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
5360,archived,CXOGC J174540.0-290030,266.41667,-29.00778,53245.502025463,ACIS-I,NONE,5170.0,DDT,Baganoff,53247,6615
5950,archived,Sgr A*,266.41667,-29.00778,53575.8315277778,ACIS-I,NONE,49390.0,GO,Baganoff,53942,6616
5951,archived,Sgr A*,266.41667,-29.00778,53578.7966782407,ACIS-I,NONE,46410.0,GO,Baganoff,53947,6617
5952,archived,Sgr A*,266.41667,-29.00778,53580.8264699074,ACIS-I,NONE,46290.0,GO,Baganoff,53948,6618
5953,archived,Sgr A*,266.41667,-29.00778,53581.8176736111,ACIS-I,NONE,45960.0,GO,Baganoff,53948,6619
5954,archived,Sgr A*,266.41667,-29.00778,53583.8437615741,ACIS-I,NONE,18310.0,GO,Baganoff,54300,6620
6113,archived,Sgr A*,266.41667,-29.00778,53428.2673726852,ACIS-I,NONE,4920.0,GO,Baganoff,53794,6621
6363,archived,Sgr A*,266.41667,-29.00778,53933.1648611111,ACIS-I,NONE,30150.0,GO,Baganoff,54300,6622
6639,archived,Sgr A*,266.41667,-29.00778,53836.2307291667,ACIS-I,NONE,4550.0,GO,Baganoff,54202,6623
6640,archived,Sgr A*,266.41667,-29.00778,53858.9342824074,ACIS-I,NONE,5160.0,GO,Baganoff,54225,6624
6641,archived,Sgr A*,266.41667,-29.00778,53887.6713773148,ACIS-I,NONE,5130.0,GO,Baganoff,54255,6625
6642,archived,Sgr A*,266.41667,-29.00778,53920.4586805556,ACIS-I,NONE,5170.0,GO,Baganoff,54286,6626
6643,archived,Sgr A*,266.41667,-29.00778,53946.6037152778,ACIS-I,NONE,5050.0,GO,Baganoff,54312,6627
6644,archived,Sgr A*,266.41667,-29.00778,53969.2454861111,ACIS-I,NONE,5050.0,GO,Baganoff,54335,6628
6645,archived,Sgr A*,266.41667,-29.00778,54003.5760416667,ACIS-I,NONE,5180.0,GO,Baganoff,54369,6629
6646,archived,Sgr A*,266.41667,-29.00778,54037.1439351852,ACIS-I,NONE,5160.0,GO,Baganoff,54402,6630
7554,archived,Sgr A*,266.41667,-29.00778,54142.2609953704,ACIS-I,NONE,5150.0,GO,Baganoff,54508,6631
7555,archived,Sgr A*,266.41667,-29.00778,54184.9548958333,ACIS-I,NONE,5150.0,GO,Baganoff,54551,6632
7556,archived,Sgr A*,266.41667,-29.00778,54237.0444328704,ACIS-I,NONE,5040.0,GO,Baganoff,54604,6633
7557,archived,Sgr A*,266.41667,-29.00778,54301.1013541667,ACIS-I,NONE,5050.0,GO,Baganoff,54667,6634
7558,archived,Sgr A*,266.41667,-29.00778,54345.84625,ACIS-I,NONE,5040.0,GO,Baganoff,54713,6635
7559,archived,Sgr A*,266.41667,-29.00778,54399.4187384259,ACIS-I,NONE,5070.0,GO,Baganoff,54768,6636
10556,archived,Sgr A*,266.41667,-29.00778,54969.0964467593,ACIS-I,NONE,114040.0,GO,Baganoff,55338,6637
11843,archived,Sgr A*,266.41667,-29.00778,55329.0912962963,ACIS-I,NONE,79980.0,GTO,Garmire,55698,6638
13016,archived,Sgr A*,266.41667,-29.00778,55649.4368402778,ACIS-I,NONE,18070.0,GO,Baganoff,56016,6639
13017,archived,Sgr A*,266.41667,-29.00778,55651.4368402778,ACIS-I,NONE,18060.0,GO,Baganoff,56018,6640
15041,archived,Sgr A,266.41667,-29.00775,56500.059849537,ACIS-S,NONE,50070.0,GO,Haggard,56533,6641
