main_id,ra,dec,otype,frame_hash
[AFR2020] NGC5907 GC234,228.99738,56.369247,GlC,175301545232818624
[AFR2020] NGC5907 GC235,228.94513,56.37099,GlC,-6186131680774745486
[AFR2020] NGC5907 GC236,229.0541,56.36954,GlC,-5240529107850172745
[AFR2020] NGC5907 GC237,228.80792,56.369335,GlC,-768113199410434965
[AFR2020] NGC5907 GC238,229.25398,56.367702,GlC,-4322582928618359828
[AFR2020] NGC5907 GC239,228.6324,56.366535000000006,GlC,4350361833846982381
[AFR2020] NGC5907 GC240,228.94588,56.531155,GlC,-7427534803733016007
[AFR2020] NGC5907 GC241,228.66086,56.438934,GlC,1715400774587673125
[AFR2020] NGC5907 GC242,228.91412,56.533012,GlC,-6608642973307783024
[AFR2020] NGC5907 GC243,228.88458,56.528954,GlC,-5317099773489729148
[AFR2020] NGC5907 GC244,229.11656,56.524994,GlC,8141159614918308645
[AFR2020] NGC5907 GC245,228.81285,56.521534,GlC,2690316489792574227
[AFR2020] NGC5907 GC246,228.99553,56.523327,GlC,-4500415787223615162
[AFR2020] NGC5907 GC247,229.11101,56.52349999999999,GlC,-3622022245673793235
[AFR2020] NGC5907 GC248,229.24785,56.44472,GlC,7687313792943728739
[AFR2020] NGC5907 GC249,229.07613,56.518314,GlC,2295564310686378232
[AFR2020] NGC5907 GC250,228.9002,56.51613,GlC,4235082444875643261
[AFR2020] NGC5907 GC251,229.13211,56.51627700000001,GlC,2800144226719020596
[AFR2020] NGC5907 GC252,228.83502,56.518784,GlC,-5221354490477101199
[AFR2020] NGC5907 GC253,229.10287,56.517315,GlC,-2831711091026307179
[AFR2020] NGC5907 GC254,229.0978,56.5175,GlC,596438056126260651
[AFR2020] NGC5907 GC255,229.1731,56.498085,GlC,8880376023316808975
[AFR2020] NGC5907 GC256,229.06389,56.514366,GlC,838887299108064609
[AFR2020] NGC5907 GC257,228.88635,56.51491500000001,GlC,-8791629407171766129
[AFR2020] NGC5907 GC258,229.06929,56.512733,GlC,541060520997657990
[AFR2020] NGC5907 GC259,228.9839,56.45500599999999,GlC,3454071262959426365
[AFR2020] NGC5907 GC260,229.0948,56.45733,GlC,5404637295670297573
[AFR2020] NGC5907 GC261,228.89677,56.50695,GlC,-6958373177539556684
[AFR2020] NGC5907 GC262,228.81807,56.507896,GlC,8796312938637458079
[AFR2020] NGC5907 GC263,229.16377,56.508293,GlC,7635425442269780733
[AFR2020] NGC5907 GC264,228.8241,56.50718700000001,GlC,-203727521939259836
[AFR2020] NGC5907 GC265,229.06491,56.506626,GlC,5932786075868423849
[AFR2020] NGC5907 GC266,228.74748,56.46143,GlC,-5486013074737967501
[AFR2020] NGC5907 GC267,229.18037,56.502655,GlC,-4630161599032802035
[AFR2020] NGC5907 GC268,228.82384,56.501965000000006,GlC,-3252210858656242540
[AFR2020] NGC5907 GC269,228.7996,56.501274,GlC,5288456701110458543
[AFR2020] NGC5907 GC270,229.12558,56.500393,GlC,2412229375354866272
[AFR2020] NGC5907 GC271,228.76157,56.500374,GlC,313747916127115337
[AFR2020] NGC5907 GC272,228.87984,56.49966,GlC,228500039784663288
[AFR2020] NGC5907 GC273,229.18738,56.487816,GlC,6395265987094140742
[AFR2020] NGC5907 GC274,228.96046,56.496593,GlC,-5615617412106852584
[AFR2020] NGC5907 GC275,228.80429,56.492733,GlC,1005698085801453204
[AFR2020] NGC5907 GC276,229.136,56.49315,GlC,7364693191600673096
[AFR2020] NGC5907 GC277,228.96927,56.49223,GlC,-3075867858013213727
[AFR2020] NGC5907 GC278,229.05464,56.468636,GlC,-903987685972690946
[AFR2020] NGC5907 GC279,229.043,56.491318,GlC,2224141573831171890
[AFR2020] NGC5907 GC280,228.84146,56.471176,GlC,6829323744129439040
[AFR2020] NGC5907 GC281,228.73418,56.48898700000001,GlC,-9171696733647299204
[AFR2020] NGC5907 GC282,229.02797,56.486404,GlC,655883224635516658
[AFR2020] NGC5907 GC283,229.07872,56.48771000000001,GlC,-1614962613237800348
