WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00011+2502,POU5882,,1898,2016,51,43,9.6,8.0,13.51,13.53,,,,00 01 09.20,+25 02 03.4,00 01 09.20,+25 02 03.4
00011+1952,CBL 556,,1998,2016,158,158,8.4,8.5,16.0,18.0,,V,,00 01 06.67,+19 52 24.8,00 01 06.67,+19 52 24.8
00011+1505,SKF 497,,2001,2015,236,259,1.4,1.6,17.7,18.7,,,,00 01 06.41,+15 05 16.7,00 01 06.41,+15 05 16.7
00011-2326,LDS2070,,1909,2016,255,263,68.0,66.2,9.5,9.71,-2417946,N,,00 01 04.17,-23 26 25.2,00 01 04.17,-23 26 25.2
00012+6221,STI1252,,1913,2016,288,288,6.6,7.4,9.8,12.1,,,,00 01 10.20,+62 21 53.2,00 01 10.20,+62 21 53.2
00012+3716,DAM 274,,1999,2016,285,285,4.5,4.5,12.6,14.6,,,,00 01 09.82,+37 16 22.0,00 01 09.82,+37 16 22.0
00012+1357,LSC   2,"Aa,Ab",2014,2019,185,170,0.2,0.2,10.7,13.1,+13 5195,,,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3
00012+1357,WNO  12,AB,1906,2021,204,204,12.7,11.5,10.66,11.12,+13 5195,V,,00 01 13.19,+13 58 30.3,00 01 13.19,+13 58 30.3
00012-0005,TOK 359,,2012,2012,72,72,0.3,0.3,8.14,12.0,-00 4605,N,,00 01 10.16,-00 04 33.9,00 01 10.16,-00 04 33.9
00012-0312,LDS9082,,1958,2015,69,69,2.7,2.5,15.2,15.4,,N,,00 01 13.46,-03 11 52.5,00 01 13.46,-03 11 52.5
00012-1551,GWP   3,,1951,2015,248,248,82.8,82.0,13.75,15.2,,V R,,00 01 09.41,-15 50 49.0,00 01 09.41,-15 50 49.0
00012-2618,LDS2071,,1954,2016,67,63,10.0,10.2,13.2,20.8,,,,00 01 08.04,-26 16 03.3,00 01 08.04,-26 16 03.3
00012-3036,KPP  47,,1998,2016,47,48,3.3,3.4,13.8,13.9,,V,,00 01 10.21,-30 36 26.0,00 01 10.21,-30 36 26.0
00013+6021,STTA254,AB,1874,2019,90,89,58.9,57.8,7.4,8.33,+59 2810,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0
00013+6021,STTA254,AC,1879,2015,324,324,155.7,155.4,7.4,9.56,+59 2809,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0
00013+6021,STTA254,AD,1982,2016,118,118,182.0,181.4,7.4,10.35,,N,,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0
00013+6021,STTA254,BD,1879,2015,129,130,134.4,133.7,8.33,10.35,+59 2812,N,,00 01 23.63,+60 21 19.6,00 01 23.63,+60 21 19.6
00013+5604,HJ 1925,,1828,2015,334,342,12.0,19.1,10.36,11.84,+55 3069,,,00 01 29.54,+56 03 21.4,00 01 29.54,+56 03 21.4
00013+3351,TDS1248,,1991,2009,59,51,0.5,0.7,10.79,10.89,+33 4817,X,,00 01 15.73,+33 51 13.6,00 01 15.73,+33 51 13.6
00013+2925,LDS5155,,1954,2020,269,268,258.1,256.7,14.18,17.0,,,,00 01 22.69,+29 25 58.2,00 01 22.69,+29 25 58.2
00013+2427,DAM 824,,2000,2016,286,286,2.6,2.6,13.2,14.3,,,,00 01 18.47,+24 26 36.7,00 01 18.47,+24 26 36.7
00013+0742,DU    4,AB,1869,2021,265,264,15.3,15.2,9.48,10.64,+06 5233,NT,,00 01 20.06,+07 42 05.9,00 01 20.06,+07 42 05.9
00013+0742,BU 9023,AC,1891,2015,350,352,160.4,168.0,9.48,13.14,,NS,,00 01 20.06,+07 42 05.9,00 01 20.06,+07 42 05.9
00013+0742,BU 9023,CD,1891,2015,56,52,9.8,9.8,13.3,13.9,,N,,00 01 18.43,+07 44 51.1,00 01 18.43,+07 44 51.1
00013+0504,UC  304,,1955,2015,54,54,15.2,15.3,12.1,13.5,,V R,,00 01 18.85,+05 04 12.7,00 01 18.85,+05 04 12.7
00013+0351,LDS5154,,1955,2015,93,94,163.3,163.7,15.84,17.3,,,,00 01 19.40,+03 51 28.0,00 01 19.40,+03 51 28.0
00013-0658,SLW9017,,2009,2015,105,103,2.2,2.2,18.0,18.3,,U,,00 01 17.42,-06 58 06.6,00 01 17.42,-06 58 06.6
00013-7012,GLI 290,AB,1851,2015,123,118,31.0,28.2,10.35,10.71,-70 3037,N,,00 01 17.42,-70 11 11.5,00 01 17.42,-70 11 11.5
