WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,framework_id,frame_hash
00012-0005,TOK 359,0,2012,2012,72,72,0.3,0.3,8.14,12.0,-00 4605,N,0,00 01 10.16,-00 04 33.9,00 01 10.16,-00 04 33.9,-325735601053966309,-3212613805223283701
00012-0312,LDS9082,0,1958,2015,69,69,2.7,2.5,15.2,15.4,0,N,0,00 01 13.46,-03 11 52.5,00 01 13.46,-03 11 52.5,-2738531659879875192,-9202868778988268728
00012-1551,GWP   3,0,1951,2015,248,248,82.8,82.0,13.75,15.2,0,V R,0,00 01 09.41,-15 50 49.0,00 01 09.41,-15 50 49.0,1085083496536129304,-129147749847570623
00012-2618,LDS2071,0,1954,2016,67,63,10.0,10.2,13.2,20.8,0,0,0,00 01 08.04,-26 16 03.3,00 01 08.04,-26 16 03.3,-1153978434891460822,-8357017354812695928
00012-3036,KPP  47,0,1998,2016,47,48,3.3,3.4,13.8,13.9,0,V,0,00 01 10.21,-30 36 26.0,00 01 10.21,-30 36 26.0,-7240549279162358920,-3719404174163086894
00013+6021,STTA254,AB,1874,2019,90,89,58.9,57.8,7.4,8.33,+59 2810,N,0,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,-1548204568319148344,7554815558000900360
00013+6021,STTA254,AC,1879,2015,324,324,155.7,155.4,7.4,9.56,+59 2809,N,0,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,2634435825976081479,5504149532043093644
00013+6021,STTA254,AD,1982,2016,118,118,182.0,181.4,7.4,10.35,0,N,0,00 01 15.85,+60 21 19.0,00 01 15.85,+60 21 19.0,-5676074305547817882,2913022190281401824
00013+6021,STTA254,BD,1879,2015,129,130,134.4,133.7,8.33,10.35,+59 2812,N,0,00 01 23.63,+60 21 19.6,00 01 23.63,+60 21 19.6,1697259622772359587,-6551542627670283494
00013+5604,HJ 1925,0,1828,2015,334,342,12.0,19.1,10.36,11.84,+55 3069,0,0,00 01 29.54,+56 03 21.4,00 01 29.54,+56 03 21.4,3313669216630717016,-4907685035695719308
00013+3351,TDS1248,0,1991,2009,59,51,0.5,0.7,10.79,10.89,+33 4817,X,0,00 01 15.73,+33 51 13.6,00 01 15.73,+33 51 13.6,-2292595557667260020,-5303743076487180090
