WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,ra,dec,_RA.icrs,_DE.icrs,frame_hash
00170+5315,HDS  38,,1991,1991,119,119,0.2,0.2,7.83,10.7,+52   33,X,,00 17 00.20,+53 14 35.8,00 17 00.20,+53 14 35.8,-949139283212438464
00170+2444,POU  16,,1899,2015,104,99,11.0,14.1,13.81,13.9,,,,00 16 57.25,+24 44 34.5,00 16 57.25,+24 44 34.5,-2368262931884145399
00170+2146,KU    4,,1901,2016,135,135,2.5,2.4,9.78,10.64,+20   18,,,00 17 01.49,+21 46 26.2,00 17 01.49,+21 46 26.2,2022349575285774872
00170+1233,HJ    2,,1825,2015,155,169,15.0,19.9,10.89,13.12,+11   29,,,00 16 59.54,+12 32 50.5,00 16 59.54,+12 32 50.5,-1866982871412907052
00170-0207,TDS1379,,1991,1991,251,251,0.7,0.7,10.79,11.03,-02   28,X,,00 17 00.93,-02 07 02.8,00 17 00.93,-02 07 02.8,1657135458151037173
00170-0915,CVR 312,,1998,2016,193,194,17.6,17.5,18.5,19.2,,V R,,00 17 00.89,-09 14 34.8,00 17 00.89,-09 14 34.8,4771514087373551018
00170-1020,HU    3,,1899,2015,286,288,1.6,1.5,11.2,11.41,-11   36,,,00 16 58.95,-10 20 01.2,00 16 58.95,-10 20 01.2,-5275912282804816152
00170-2803,RST1184,,1932,2015,63,61,3.2,3.5,9.7,14.5,-28   65,,,00 16 59.35,-28 03 11.2,00 16 59.35,-28 03 11.2,4986678086824437426
00170-3005,LDS2110,,1954,2016,120,121,6.0,6.1,17.5,19.0,,,,00 17 07.25,-30 03 34.4,00 17 07.25,-30 03 34.4,-4157896466541648995
00170-4506,TDS1380,,1991,1991,158,158,0.9,0.9,12.04,12.24,-45   62,X,,00 17 02.88,-45 06 06.3,00 17 02.88,-45 06 06.3,-2798547303025842330
00171+5807,TDS1381,,1991,2016,299,289,0.8,0.7,11.57,11.72,,,,00 17 08.42,+58 07 02.2,00 17 08.42,+58 07 02.2,6294953261722571188
00171+5736,A   904,,1905,2020,0,0,3.2,3.5,9.48,10.25,+56   32,,,00 17 10.83,+57 36 23.3,00 17 10.83,+57 36 23.3,-858574118674183690
00171+3841,CHR 123,,1986,1996,142,135,0.1,0.1,4.61,,+37   34,NO,,00 17 05.54,+38 40 54.0,00 17 05.54,+38 40 54.0,-7979945597051258766
00171+1857,GRV  19,,1895,2015,3,4,14.7,14.2,11.09,12.02,,V,,00 17 09.94,+18 57 12.1,00 17 09.94,+18 57 12.1,2183703615711509693
00171-0139,OCC 594,,1979,1979,-1,-1,0.1,0.1,9.1,9.1,-02   29,,,00 17 05.53,-01 39 10.9,00 17 05.53,-01 39 10.9,5063307049703330297
00171-1027,MRI   1,,1954,2016,324,326,2.6,2.7,16.1,16.5,,,,00 17 08.10,-10 26 49.6,00 17 08.10,-10 26 49.6,-6081076296009495709
00171-1205,CBL 202,,1994,2015,117,117,80.3,80.3,16.6,17.0,,NV,,00 17 05.88,-12 04 44.6,00 17 05.88,-12 04 44.6,2235672638678887474
00171-1406,GAL 298,,1901,2016,338,337,23.2,23.1,11.36,11.75,,N,,00 17 07.42,-14 05 42.8,00 17 07.42,-14 05 42.8,-1810958751575292373
00171-5039,TDS1382,,1991,1991,119,119,2.1,2.1,11.92,12.97,,X,,00 17 04.21,-50 38 35.8,00 17 04.21,-50 38 35.8,-6407038084046680982
00171-5551,RST2237,,1936,2016,261,267,0.4,0.5,11.1,11.61,-56   54,,,00 17 03.18,-55 50 44.9,00 17 03.18,-55 50 44.9,2854808631330235021
00171-6958,ALD  19,,1928,2015,230,230,5.0,5.0,10.0,12.0,-70    8,,,00 17 06.54,-69 57 42.1,00 17 06.54,-69 57 42.1,1747079721322061811
00172+5034,BU  776,,1881,2017,203,197,0.9,1.2,9.93,10.25,+49   40,,,00 17 13.83,+50 34 24.1,00 17 13.83,+50 34 24.1,5121330546189969821
00172+3508,ES  312,,1906,2020,237,238,2.2,2.8,9.5,9.7,+34   26,,,00 16 59.07,+35 09 15.8,00 16 59.07,+35 09 15.8,-4932523815931734948
00172+3317,J   869,,1912,2016,250,247,1.2,1.7,11.1,11.13,+32   34,,,00 17 14.00,+33 16 51.3,00 17 14.00,+33 16 51.3,-7480185552744076114
00172+2932,RAO 524,,2013,2016,218,222,1.0,1.0,10.2,12.3,,R,,00 17 10.46,+29 31 52.0,00 17 10.46,+29 31 52.0,-4766004338322734080
00172+1308,FOX   1,,1912,2016,110,110,4.2,4.9,9.94,12.7,+12   15,,,00 17 12.69,+13 08 00.9,00 17 12.69,+13 08 00.9,7171613768280744022
00172+0332,LDS3014,,1951,1951,294,294,1.5,1.5,18.3,20.2,,X,!,00 17 12.00,+03 32 00.0,00 17 12.00,+03 32 00.0,2210279838975010397
00172+0022,WAA   2,,1951,2015,58,55,7.8,7.4,17.9,18.1,,,,00 17 11.09,+00 22 00.5,00 17 11.09,+00 22 00.5,6759747145947620224
00172-1921,LDS   9,AB,1970,2015,101,101,114.9,114.9,10.27,10.81,-20   33,N,,00 17 18.27,-19 20 19.4,00 17 18.27,-19 20 19.4,7658978260012740635
00172-1921,KPP4345,AC,1999,2015,327,328,7.5,7.5,10.6,14.9,,NT,,00 17 18.27,-19 20 19.4,00 17 18.27,-19 20 19.4,5165615001554699916
00172-1921,KPP4345,BC,1999,2016,284,284,120.2,120.1,10.29,15.12,,NV,,00 17 26.24,-19 20 41.2,00 17 26.24,-19 20 41.2,-5876413150927117977
00172-2257,UC  346,,1998,2016,181,181,7.8,7.8,13.9,15.4,,V,,00 17 12.37,-22 56 42.7,00 17 12.37,-22 56 42.7,1776154409683717457
00172-7032,SYU   1,,2014,2014,90,90,0.1,0.1,8.38,,,K,,00 17 14.43,-70 32 02.1,00 17 14.43,-70 32 02.1,-3896821089899086160
00173+6017,STI  35,,1903,2015,84,91,6.0,5.5,13.7,13.7,,,,00 17 18.17,+60 17 10.0,00 17 18.17,+60 17 10.0,-280693249349207924
00173+5346,TDS1383,,2016,2016,24,24,1.6,1.6,11.1,16.7,,,,00 17 20.13,+53 45 54.8,00 17 20.13,+53 45 54.8,3344392864960140905
00173+3332,ES 2210,,1926,2016,268,269,3.1,3.4,11.5,11.0,,,,00 17 17.87,+33 32 37.3,00 17 17.87,+33 32 37.3,-2504240346451426519
00173-3833,NSN 229,,2015,2016,187,187,3.5,3.5,14.62,17.46,,T,,00 17 18.53,-38 33 19.8,00 17 18.53,-38 33 19.8,-3457295477825230594
00174+5602,TDS1384,,1991,1991,40,40,0.6,0.6,11.12,11.23,+55   39,X,,00 17 21.01,+56 02 15.0,00 17 21.01,+56 02 15.0,8275995188586770270
00174+3550,WEI   1,,1879,2020,287,286,5.3,5.3,9.4,9.41,+35   39,,,00 17 25.85,+35 50 22.6,00 17 25.85,+35 50 22.6,5198346946777369302
00174+3303,ES 2274,,1927,2016,166,174,2.2,1.9,10.13,11.84,+32   35,U,,00 17 24.12,+33 04 09.5,00 17 24.12,+33 04 09.5,2618721710727218383
00174+2306,COU 146,,1967,2016,102,91,1.1,1.1,10.55,10.77,+22   39,,,00 17 26.49,+23 05 57.5,00 17 26.49,+23 05 57.5,-3478667837092951075
00174+1852,HDS  39,,1991,2017,254,248,1.2,1.6,10.85,13.28,+18   24,,,00 17 22.62,+18 51 34.1,00 17 22.62,+18 51 34.1,-4078128464651028234
00174+1631,GKM9004,"Aa,Ab",2022,2023,30,92,0.1,0.0,9.0,9.8,,R,,00 17 22.36,+16 30 37.5,00 17 22.36,+16 30 37.5,-3448907363730728186
00174+1631,STF  20,AB,1825,2020,230,233,12.1,11.9,8.87,9.67,+15   35,Z,,00 17 22.36,+16 30 37.5,00 17 22.36,+16 30 37.5,6631164862244046778
00174+1002,A  1804,,1908,2017,47,27,1.2,1.2,9.2,10.47,+09   24,,,00 17 26.97,+10 01 41.7,00 17 26.97,+10 01 41.7,-3500612614388169190
00174+0853,A  1803,AB,1908,2022,300,136,0.1,0.1,8.38,7.78,+08   24,NO,,00 17 24.50,+08 52 34.8,00 17 24.50,+08 52 34.8,-35271100742301857
00174+0853,STF  22,"AB,C",1821,2020,238,235,5.0,3.9,7.13,7.66,,N,,00 17 24.50,+08 52 34.8,00 17 24.50,+08 52 34.8,-8380822992632733383
00174+0853,STF  22,"AB,D",1910,2016,142,152,63.7,66.9,7.13,11.5,,NU,,00 17 24.50,+08 52 34.8,00 17 24.50,+08 52 34.8,6412261048688537107
00174+0853,POP 229,"AB,E",2000,2016,239,239,73.8,75.9,7.13,16.16,,NU,,00 17 24.50,+08 52 34.8,00 17 24.50,+08 52 34.8,-3685293664871924284
00174+0221,STF  21,,1902,2016,51,52,7.6,7.7,10.31,10.6,+01   34,NV,,00 17 21.25,+02 20 50.6,00 17 21.25,+02 20 50.6,-1310937707447115857
00174-0508,CVR1033,,1998,2016,157,156,3.6,3.6,18.2,18.8,,R,,00 17 24.55,-05 08 11.6,00 17 24.55,-05 08 11.6,-4084583701228811582
00174-2156,ARA1602,,1921,2015,225,228,8.3,8.5,10.8,12.2,-22   39,,,00 17 22.19,-21 55 52.5,00 17 22.19,-21 55 52.5,8032444641380134886
00174-5131,HDS  40,,1991,2022,207,21,0.2,0.2,9.73,11.16,-52   24,,,00 17 24.37,-51 31 20.5,00 17 24.37,-51 31 20.5,4060814530267676019
00174-6635,DON   2,AB,1928,2016,20,18,5.3,5.5,8.35,12.4,-67   16,W,,00 17 24.38,-66 34 01.5,00 17 24.38,-66 34 01.5,-45719605246491649
00175+4957,LDS3147,,1953,2015,236,236,178.5,178.4,18.2,18.8,,,,00 17 26.59,+49 57 55.1,00 17 26.59,+49 57 55.1,-1193882757282440572
00175+4514,ES 1294,,1914,2017,229,228,1.0,1.1,10.3,10.77,+44   53,,,00 17 25.13,+45 15 02.7,00 17 25.13,+45 15 02.7,8113463571058848625
00175+4434,COU1501,,1977,2016,286,279,0.3,0.5,10.2,10.7,+43   42,,,00 17 31.31,+44 33 59.4,00 17 31.31,+44 33 59.4,-4272364777421272227
00175+4418,ES 1482,,1916,2016,188,203,3.8,3.7,10.59,15.1,+43   41,,,00 17 27.57,+44 17 01.5,00 17 27.57,+44 17 01.5,1830435865187008080
00175+3400,CRB  26,,1999,2016,235,235,15.4,15.3,15.1,16.8,,V,,00 17 32.95,+34 00 25.4,00 17 32.95,+34 00 25.4,4810295288311176406
00175+2200,COU  73,"Aa,Ab",2013,2013,48,48,0.1,0.1,11.1,11.1,,,,00 17 29.55,+22 00 11.5,00 17 29.55,+22 00 11.5,6548679338100911650
00175+2200,COU  73,AB,1965,2016,230,227,1.3,1.5,10.35,13.4,+21   20,U,,00 17 29.55,+22 00 11.5,00 17 29.55,+22 00 11.5,-1014929797046033867
00175+0344,HDO  10,,1869,2015,235,238,25.0,31.5,11.49,12.61,,,,00 17 33.44,+03 44 50.1,00 17 33.44,+03 44 50.1,-7810260244342814331
00175+0019,STF  23,AB,1825,2020,1,216,14.0,10.7,7.88,10.28,-00   33,L Y,,00 17 28.76,+00 19 15.5,00 17 28.76,+00 19 15.5,5104958344587905370
00175+0019,STF  23,AC,1898,2015,283,274,103.3,99.2,7.88,12.44,,,,00 17 28.76,+00 19 15.5,00 17 28.76,+00 19 15.5,-8326676669650497667
00175-0721,GWP  35,,1996,2015,158,158,70.0,69.4,10.47,15.71,-08   35,V,,00 17 32.18,-07 21 13.6,00 17 32.18,-07 21 13.6,-7412691058777638649
00175-4726,SKF 407,,1996,2016,86,86,7.5,7.6,11.33,16.0,-48   36,,,00 17 30.25,-47 26 00.3,00 17 30.25,-47 26 00.3,5276034200740406998
00175-6142,KPP1737,,1894,2016,129,130,14.4,13.4,11.6,11.6,,V,,00 17 29.02,-61 42 00.3,00 17 29.02,-61 42 00.3,-5988503694031684920
00176+3946,COU1048,,1973,2015,296,311,0.7,0.5,10.7,13.0,+38   26,,,00 17 39.65,+39 47 27.8,00 17 39.65,+39 47 27.8,-6615455274409998824
00176+1300,HJ    3,,1825,2020,260,262,10.0,11.9,9.97,10.24,+12   16,NV,,00 17 38.34,+13 00 05.0,00 17 38.34,+13 00 05.0,4798485953868653313
00176+0108,UC  347,,1998,2016,207,207,14.0,14.0,14.8,15.6,,V R,,00 17 36.33,+01 08 14.4,00 17 36.33,+01 08 14.4,3064667798492572677
00176-0102,BAL 272,,1898,2015,343,0,16.9,19.1,11.75,12.98,,,,00 17 39.28,-01 01 38.5,00 17 39.28,-01 01 38.5,-2758048541913146161
00176-1113,GAL 299,,1902,2016,123,123,31.9,31.6,8.99,12.07,-12   35,N,,00 17 41.54,-11 12 54.6,00 17 41.54,-11 12 54.6,5343338483435318579
00176-3250,CLZ   3,,1978,2016,182,181,13.4,13.5,16.3,17.8,,V,,00 17 38.11,-32 50 00.2,00 17 38.11,-32 50 00.2,-8839422345308864462
00177+5343,ES 2578,,1899,2019,70,70,13.3,16.5,8.0,10.12,+52   38,,,00 17 44.82,+53 42 40.5,00 17 44.82,+53 42 40.5,-8352795370573919641
00177+5126,TRN   8,AB,2001,2001,22,186,2.8,2.8,6.1,15.0,+50   46,N,,00 17 43.06,+51 25 59.1,00 17 43.06,+51 25 59.1,-4867669241390953598
00177+5126,MZA   3,AC,1998,2016,104,104,12.5,13.0,6.1,13.8,,NU,,00 17 43.06,+51 25 59.1,00 17 43.06,+51 25 59.1,8880533982183381519
00177+5126,RBR  22,AD,2008,2008,317,317,16.3,16.3,6.37,12.5,,N  K,,00 17 43.06,+51 25 59.1,00 17 43.06,+51 25 59.1,-2161070267144828966
00177+4934,TDS   9,,1991,2016,108,213,0.9,1.0,11.19,11.62,,,,00 17 43.66,+49 34 27.8,00 17 43.66,+49 34 27.8,3931228645020696869
00177+2630,BUP   5,AB,1895,2017,199,201,80.5,77.5,10.52,12.27,+25   26,S,,00 17 42.90,+26 28 22.4,00 17 42.90,+26 28 22.4,-1038720928222025558
00177+2630,BUP   5,AC,1895,2014,352,358,123.5,140.7,10.52,11.39,,L,,00 17 42.90,+26 28 22.4,00 17 42.90,+26 28 22.4,5333277698033206250
00177+2630,BUP   5,CD,1989,2014,220,221,94.8,96.2,11.39,13.05,,U,,00 17 42.49,+26 30 40.9,00 17 42.49,+26 30 40.9,3464624817324874169
00177+1217,LDS1076,,1962,2016,223,26,1.9,0.9,17.5,18.5,,,,00 17 32.33,+12 17 58.4,00 17 32.33,+12 17 58.4,4211266109702018483
00177+0119,OCC 728,,1987,1987,-1,-1,0.1,0.1,9.8,9.8,+00   27,,,00 17 41.48,+01 19 25.7,00 17 41.48,+01 19 25.7,-3421114539946169169
00177-2726,LDS2111,,1954,2015,117,118,126.0,122.6,17.8,18.5,,,,00 17 40.03,-27 24 16.7,00 17 40.03,-27 24 16.7,-3503091533945664492
00177-3428,LDS3148,,1960,2015,357,0,32.0,28.8,12.35,16.16,,,,00 17 44.07,-34 28 58.6,00 17 44.07,-34 28 58.6,-5120015200250805214
00178+5013,TDS1385,,1991,1991,87,87,0.8,0.8,11.99,12.0,,X,,00 17 47.87,+50 12 45.8,00 17 47.87,+50 12 45.8,2084665471387986249
00178+3035,MLB 632,,1931,2016,270,270,2.0,1.7,10.0,11.0,,I,,00 17 48.71,+30 35 34.5,00 17 48.71,+30 35 34.5,-5315118588983258185
00178+1620,TOK 646,,1998,2016,233,232,20.2,20.1,7.21,17.2,+15   39,NV,,00 17 49.98,+16 19 51.6,00 17 49.98,+16 19 51.6,-4012432153814678339
00178+1535,SLW  15,,1949,2016,171,171,37.0,37.1,18.2,19.0,,V R,,00 17 50.68,+15 35 02.3,00 17 50.68,+15 35 02.3,5612535091041283129
00178+0345,HDO  11,,1868,2015,294,289,40.0,34.4,9.69,12.13,+02   28,,,00 17 47.92,+03 44 44.8,00 17 47.92,+03 44 44.8,-3925296176492679593
00178-0316,GKM9005,"Aa,Ab",2021,2021,85,85,1.3,1.3,10.4,12.3,-04   24,WR,,00 17 47.10,-03 16 28.3,00 17 47.10,-03 16 28.3,-8374233599619939753
00178-0717,GWP  36,,1996,2015,160,160,55.8,56.0,12.28,15.3,,V,,00 17 48.91,-07 17 03.8,00 17 48.91,-07 17 03.8,-8046390310546121942
00178-1436,SKF 298,,1994,2016,28,28,4.4,4.4,10.7,14.7,-15   47,V,,00 17 48.32,-14 36 23.5,00 17 48.32,-14 36 23.5,-4744922354769301005
00178-3807,TOI 242,,2019,2019,164,164,0.8,0.8,13.1,15.1,,,,00 17 48.35,-38 06 38.9,00 17 48.35,-38 06 38.9,5368948059814471423
00179+5752,TDS1386,,1991,1991,61,61,0.7,0.7,11.79,12.54,,X,,00 17 51.24,+57 52 04.3,00 17 51.24,+57 52 04.3,8849358300080690261
00179+3435,HDS  41,,1991,2010,285,284,0.5,0.5,8.62,11.54,+33   24,,,00 17 56.93,+34 34 32.1,00 17 56.93,+34 34 32.1,2148869726963882815
00179-2624,LDS2112,,1954,2016,344,345,8.5,7.9,16.1,17.4,,,,00 17 54.26,-26 21 57.5,00 17 54.26,-26 21 57.5,8740053355334148636
00179-4917,UC  348,,1998,2015,310,310,100.1,99.6,9.8,15.9,,V,,00 17 51.43,-49 17 26.4,00 17 51.43,-49 17 26.4,5792654630437210505
00180+5517,STI1315,,1912,2016,107,106,12.5,12.0,12.56,12.6,,,,00 18 00.11,+55 17 44.7,00 18 00.11,+55 17 44.7,-5728301920425636293
00180+2057,LDS 864,,1894,2017,232,232,9.3,9.3,10.4,12.77,,N,,00 17 59.17,+20 57 24.5,00 17 59.17,+20 57 24.5,5079984217604609401
00180+0931,AG    1,,1891,2016,211,210,11.7,11.8,9.21,10.07,+08   28,NV,,00 18 00.66,+09 30 53.1,00 18 00.66,+09 30 53.1,-3871944809086689775
00180-0102,GRV 973,,1998,2015,163,163,23.1,23.0,15.7,17.5,,,,00 18 35.66,-01 02 08.2,00 18 35.66,-01 02 08.2,3730824818102996253
00180-1327,LLO   2,,2001,2002,87,87,1.3,1.4,4.99,7.8,-14   42,V K,,00 17 58.87,-13 27 20.3,00 17 58.87,-13 27 20.3,4755607100196795134
00180-1942,LDS  10,AB,1920,2015,225,254,17.0,16.0,11.97,13.7,,V,,00 17 58.49,-19 41 47.4,00 17 58.49,-19 41 47.4,-729390538411424364
00180-1942,ARA2324,AC,1920,2016,318,315,12.8,27.0,11.97,13.35,,U,,00 17 58.49,-19 41 47.4,00 17 58.49,-19 41 47.4,-6954802429275483254
00180-5037,KPP2849,,1998,2016,87,88,4.2,4.3,14.31,16.34,,T,,00 17 59.74,-50 36 39.1,00 17 59.74,-50 36 39.1,582253762740507810
00181+5800,STI1316,,1911,2015,248,260,11.3,17.9,9.53,13.2,+57   53,,,00 18 03.95,+58 00 22.3,00 18 03.95,+58 00 22.3,1622033298930627410
00181+5255,TDS  10,,1991,2017,74,75,1.3,1.2,11.88,11.91,,,,00 18 03.93,+52 54 57.1,00 18 03.93,+52 54 57.1,1938987431274925036
00181+5118,ES  749,,1903,2016,166,146,9.1,9.1,10.54,10.91,+50   48,,,00 18 08.08,+51 17 53.3,00 18 08.08,+51 17 53.3,-3892852907508661365
00181+3240,HJ  619,,1827,2015,165,161,10.0,10.1,11.07,12.1,,,,00 18 13.57,+32 40 22.1,00 18 13.57,+32 40 22.1,-6973843120232810579
00181+0043,TDS1387,,1991,2016,351,352,1.8,1.6,11.53,11.63,-00   38,,,00 18 06.51,+00 42 52.6,00 18 06.51,+00 42 52.6,-6163459785207082280
00181+0029,TDS1388,,1991,1991,67,67,0.4,0.4,10.1,10.2,-00   36,X,,00 18 03.13,+00 28 49.4,00 18 03.13,+00 28 49.4,-2413897381842654684
00181-0631,GWP  37,,1993,2015,335,335,21.1,21.2,15.4,15.6,,V,,00 18 03.25,-06 31 00.9,00 18 03.25,-06 31 00.9,-1387747902327916862
00181-5330,LDS  11,,1920,2015,45,76,19.0,18.6,12.21,13.68,,,,00 18 08.62,-53 30 32.1,00 18 08.62,-53 30 32.1,-1411273395744277002
00182+8615,WRS   4,,1900,2018,52,54,4.6,4.5,10.9,12.7,+85    4,T,,00 18 09.53,+86 14 52.3,00 18 09.53,+86 14 52.3,-8565582940418559854
00182+7257,A   803,,1904,2015,355,135,0.3,0.3,8.1,8.76,+72   15,NO,,00 18 14.70,+72 56 48.4,00 18 14.70,+72 56 48.4,8941008498647373063
00182+5911,TDS1389,,1991,1991,12,12,2.1,2.1,11.54,12.45,,,,00 18 10.05,+59 11 17.3,00 18 10.05,+59 11 17.3,6534616021796246618
00182+5906,STI1317,,1910,2015,1,0,9.6,9.5,13.3,14.3,,,,00 18 08.83,+59 06 06.4,00 18 08.83,+59 06 06.4,3638835133145686198
00182+5225,YSC  79,,2010,2019,314,333,0.3,0.3,8.2,11.6,+51   39,,,00 18 12.13,+52 24 45.1,00 18 12.13,+52 24 45.1,-1313988742969097180
00182+1209,GWP  38,,1991,2015,38,39,6.6,7.2,14.5,16.5,,N,,00 18 12.49,+12 09 06.1,00 18 12.49,+12 09 06.1,-3378706606317358866
00182-0259,CVR1035,,1998,2016,33,31,3.3,3.3,18.8,19.4,,R,,00 18 13.05,-02 58 49.1,00 18 13.05,-02 58 49.1,8112843924973984870
00182-0357,CVR1034,,1998,2016,214,214,3.9,3.9,16.1,16.3,,R,,00 18 10.39,-03 56 56.7,00 18 10.39,-03 56 56.7,3323928923292120032
00183+5531,A   906,,1905,2016,314,311,2.5,2.9,10.48,13.3,+54   28,,,00 18 22.72,+55 31 49.6,00 18 22.72,+55 31 49.6,7844744834048138406
00183+3647,DRS  33,,2009,2016,146,146,6.9,7.0,4.46,11.4,,K,,00 18 19.65,+36 47 06.8,00 18 19.65,+36 47 06.8,3311888642483885458
00183+3118,TDS  11,,1991,1991,23,23,1.0,1.0,11.06,13.24,,X,,00 18 19.30,+31 17 37.2,00 18 19.30,+31 17 37.2,5543375287062629172
00183+3057,LAF  23,,2004,2004,254,254,4.0,4.0,6.5,20.5,+30   34,K,,00 18 20.90,+30 57 22.0,00 18 20.90,+30 57 22.0,-2657001968527776644
00183+1646,BPM   8,,1997,2016,356,356,107.1,107.2,14.42,15.15,,NU,,00 18 16.56,+16 45 50.8,00 18 16.56,+16 45 50.8,-7934300221149908093
00183+0927,UC  349,,2000,2016,46,46,8.9,9.0,13.7,15.5,,V,,00 18 20.18,+09 26 44.6,00 18 20.18,+09 26 44.6,-8174667949008704826
00183-1409,HJ 1948,,1830,2016,173,168,13.0,16.5,11.24,11.73,-14   43,,,00 18 22.54,-14 08 19.9,00 18 22.54,-14 08 19.9,-4448351792041278974
00183-2108,BU  393,,1875,1991,30,29,0.5,0.7,6.9,8.42,-21   31,,,00 18 16.95,-21 08 18.5,00 18 16.95,-21 08 18.5,6652160411226565523
00183-2414,TDS1390,,1991,1991,129,129,0.7,0.7,11.41,11.87,-24   82,X,,00 18 18.22,-24 14 26.4,00 18 18.22,-24 14 26.4,2633227728252473747
00184+4930,ES   41,,1901,2016,217,218,5.2,6.7,7.96,11.16,+48   67,,,00 18 21.55,+49 30 35.1,00 18 21.55,+49 30 35.1,3797908595569037719
00184+4401,GRB  34,AB,1860,2019,53,66,40.1,34.1,8.31,11.36,+43   44,NO P,,00 18 22.88,+44 01 22.6,00 18 22.88,+44 01 22.6,7764217656985664882
00184+4401,GRB  34,AC,1904,2016,113,258,34.7,298.7,8.31,11.83,,NL P,,00 18 22.88,+44 01 22.6,00 18 22.88,+44 01 22.6,6486026315048279808
00184+4401,TNN   1,AD,2004,2004,158,158,6.4,6.4,8.31,,,N  P,,00 18 22.88,+44 01 22.6,00 18 22.88,+44 01 22.6,8018829641673772508
00184+4401,TNN   1,BE,2004,2004,66,66,7.5,7.5,8.31,,,N  P,,00 18 25.87,+44 01 38.4,00 18 25.87,+44 01 38.4,2356995292381755619
00184+4401,TNN   1,BF,2004,2004,70,70,11.9,11.9,8.31,,,N  P,,00 18 25.87,+44 01 38.4,00 18 25.87,+44 01 38.4,1495868648114933680
00184+4056,COU1202,,1975,2019,103,104,1.3,1.5,9.8,11.0,+40   48,,,00 18 22.85,+40 56 01.8,00 18 22.85,+40 56 01.8,8375281490741761359
00184+0344,HDO  12,AB,1868,2015,270,9,5.0,5.5,11.86,12.9,,N,,00 18 25.38,+03 45 34.6,00 18 25.38,+03 45 34.6,4014183746331625542
00184+0344,HDO  12,AC,1868,2015,315,320,25.0,32.1,11.86,13.64,,N,,00 18 25.38,+03 45 34.6,00 18 25.38,+03 45 34.6,-8641830834116376787
00184-0048,SLW9013,,2003,2016,88,88,1.6,1.6,21.0,21.0,,,,00 18 22.84,-00 48 05.5,00 18 22.84,-00 48 05.5,7340767893313261839
00184-1516,WSP  26,,1998,2016,144,144,15.4,15.4,10.99,13.6,,T R,,00 18 24.70,-15 16 02.3,00 18 24.70,-15 16 02.3,6872508204925261962
00184-5600,UC  350,,1998,2015,169,169,66.2,66.1,15.98,16.73,,V,,00 18 26.22,-56 00 05.4,00 18 26.22,-56 00 05.4,8287421240361447199
00184-6329,JGP  31,AB,2016,2016,203,203,999.9,999.9,7.5,12.9,-64   17,T,,00 18 26.12,-63 28 39.0,00 18 26.12,-63 28 39.0,-1689327374666191979
00184-6329,JGP  31,AC,2016,2016,138,138,999.9,999.9,7.5,14.7,,T,,00 18 26.12,-63 28 39.0,00 18 26.12,-63 28 39.0,-140264742577645234
00184-6329,JGP  31,AD,2016,2016,5,5,999.9,999.9,7.5,21.0,,T,,00 18 26.12,-63 28 39.0,00 18 26.12,-63 28 39.0,-861979969640299577
00185+6735,TDS1391,,1991,1991,167,167,2.0,2.0,11.56,12.21,,,,00 18 28.43,+67 35 11.0,00 18 28.43,+67 35 11.0,-6582999523836491615
00185+5945,A   905,,1905,2016,289,284,0.8,0.9,9.72,10.52,+58   26,,,00 18 28.63,+59 44 33.3,00 18 28.63,+59 44 33.3,770804246641114329
00185+5514,STI1318,,1912,2016,251,254,14.7,14.9,11.52,12.1,,,,00 18 33.81,+55 14 04.9,00 18 33.81,+55 14 04.9,-9108702662140735661
00185+4024,MLB 733,,1932,2016,55,50,9.5,10.3,9.89,10.4,+39   53,,,00 18 27.14,+40 24 46.0,00 18 27.14,+40 24 46.0,-6209642617248592281
00185+2608,STF  24,,1831,2021,248,247,5.2,5.3,7.79,8.44,+25   29,,,00 18 30.59,+26 08 25.1,00 18 30.59,+26 08 25.1,-5302288825686299916
00185+2503,POU  17,,1899,2015,144,163,8.5,7.9,13.2,13.6,,,,00 18 30.63,+25 03 43.2,00 18 30.63,+25 03 43.2,-5540903484303681925
00185+2129,COU  21,,1962,2016,189,167,1.1,1.2,8.89,12.2,+20   22,,,00 18 27.31,+21 28 39.5,00 18 27.31,+21 28 39.5,-2083495957778194161
00185+0911,CVR 313,,2000,2016,65,65,9.4,9.4,17.2,18.3,,V R,,00 18 28.52,+09 10 40.7,00 18 28.52,+09 10 40.7,-3314209597177368731
00185-2757,HJ 1949,,1830,2015,325,324,90.0,70.9,8.62,9.07,-28   77,N,,00 18 31.98,-27 57 07.2,00 18 31.98,-27 57 07.2,-7440370706528143451
00185-3005,KPP1566,,1991,2015,337,335,12.1,11.8,11.5,13.0,,V,,00 18 30.31,-30 05 06.7,00 18 30.31,-30 05 06.7,-5374580063142376242
00185-4606,RST   3,,1928,2016,130,131,1.9,2.2,11.89,13.7,-46   59,,,00 18 29.36,-46 05 52.9,00 18 29.36,-46 05 52.9,9009953906698110874
00185-5325,UC  351,,1892,2015,224,223,28.9,29.0,11.64,11.78,,V,,00 18 29.24,-53 25 25.7,00 18 29.24,-53 25 25.7,2854273395621603013
00186+6351,TDS1392,,1991,2007,350,359,0.5,0.2,10.86,10.96,+63   24,,,00 18 34.65,+63 50 47.8,00 18 34.65,+63 50 47.8,-6274217206847138452
