PGC,RAJ2000,DEJ2000,OType,MType,logD25,logR25,PA,ANames
1262173,00 00 11.9,+04 00 46,G,,0.58,0.11,134.0,
552018,00 00 12.0,-43 11 09,G,,0.42,0.12,148.0,
2409567,00 00 12.0,+52 13 12,G,,0.33,0.06,178.0,
741083,00 00 12.1,-28 29 21,G,,0.43,0.25,124.0,
100703,00 00 12.1,-66 30 46,G,SO-a,0.9,0.06,98.0,
2817447,00 00 12.1,+02 05 49,G,,0.72,0.32,98.0,IRAS23576+0149413915
1034336,00 00 12.2,-06 18 38,G,,0.48,0.11,30.0,NPM1G-06.0625
1981702,00 00 12.2,+32 07 47,G,,0.45,0.03,,
648482,00 00 12.3,-35 28 29,G,,0.41,0.27,57.0,
143116,00 00 12.3,-36 31 14,G,,0.55,0.16,53.0,
976979,00 00 12.3,-10 32 11,G,,0.52,0.47,72.0,
933294,00 00 12.4,-13 46 59,G,,0.42,0.21,20.0,
1068580,00 00 12.5,-03 38 51,G,,0.4,0.07,133.0,
1974634,00 00 12.6,+31 59 28,G,,0.49,0.11,156.0,
373314,00 00 12.6,-59 11 15,G,,0.6,0.19,151.0,
20,00 00 12.7,+01 07 11,G,Irr,0.93,0.18,131.0,MCG0-01-016           CGCG382-16            IRASF23576+0050
581385,00 00 12.7,-40 53 17,G,,0.36,0.1,154.0,
655243,00 00 12.8,-34 57 22,G,,0.49,0.33,170.0,
606178,00 00 12.8,-38 41 50,G,,0.29,0.03,,
958607,00 00 12.8,-12 01 53,G,,0.43,0.18,80.0,
846232,00 00 12.9,-20 06 25,G,,0.66,0.38,93.0,
1118055,00 00 12.9,-01 27 49,G,,0.46,0.18,172.0,
107765,00 00 13.1,-44 15 37,G,,0.73,0.17,6.0,LCRSB235738.9-443219
18,00 00 13.1,+46 57 55,G,,0.98,0.13,17.0,MCG8-01-019           CGCG549-14            CGCG548-23
1008099,00 00 13.1,-08 06 58,G,,0.58,0.27,164.0,
198787,00 00 13.1,-27 38 00,G,,0.61,0.13,87.0,DUKST409-58
520632,00 00 13.2,-45 57 57,G,,0.4,0.22,90.0,
