main_id,ra,dec,otype,framework_id
CWNU 1265,112.259175,-48.75547777777778,OpC,-2002960465202419831
CWNU 1267,239.6483875,-25.832211111111118,OpC,6869958897857522825
CWNU 1268,250.69684583333327,-49.05264444444444,OpC,-7355438050449426761
CWNU 1269,301.73525,10.43008611111111,OpC,-1195033505021418315
KMHK 1096,83.49833333333333,-71.75666666666666,OpC,-5415415044077367277
KMHK 1488,88.22600000000001,-69.7857361111111,OpC,4999551970913647126
[FSC2019] UFMG 61,185.4940833333333,-63.60925,OpC,6810061365746766500
C 1814-191,273.575,-19.1,OpC,7508524317234720449
KMHK  728,79.57929166666666,-65.69204722222223,OpC,-8062174250989922671
[FSR2007] 0195,304.229,33.637,OpC,7258810543617854399
Cl* Trumpler   14     HG   10041,161.074625,-59.42241666666667,OpC,1188188319688425825
[KPS2012] MWSC 1771,152.002,-59.195,OpC,-7399103867061256441
[HS66] 283,81.37916666666666,-69.36666666666666,OpC,-337683168139240936
[GKK2003] O137,85.7,-70.06666666666666,OpC,-5369877831966029908
[FSC2019] UFMG 11,243.495,-52.96336111111112,OpC,-8184491030388246274
KMHK  780,80.04404166666667,-66.4551,OpC,4991845756856828284
[FSC2019] UFMG 4,272.99300000000005,-22.981,OpC,3331971762860030691
[FSC2019] UFMG 27,287.0999166666667,10.177444444444443,OpC,-7563899268197953769
[FSC2019] UFMG 35,231.15145833333332,-53.9731111111111,OpC,64831814858987665
[FSC2019] UFMG 54,210.6942916666667,-61.95369444444445,OpC,-6807289594923769421
C 1026-579,157.1,-58.13333333333333,OpC,2909035077411776670
NAME Carraro 1,159.233,-58.75,OpC,-1406174450772248065
C 1405-594,212.34,-59.725,OpC,3582887803472198094
ESO 429-2,113.34583333333336,-28.20472222222222,OpC,3557642883325321964
[HS66] 220,79.600625,-69.87824166666665,OpC,9195260421721969202
BMG 254,92.72041666666668,-67.45972222222223,OpC,8378869255086499933
BMG 213,90.7375,-67.53805555555556,OpC,6208311453875453282
BMG 223,91.02708333333332,-67.91388888888889,OpC,-3278908547134012094
BMG 113,87.64791666666665,-68.18333333333334,OpC,2707820333317825699
BMG 120,87.73416666666667,-68.41722222222222,OpC,-7141862023214652883
BMG 135,88.07750000000001,-68.6111111111111,OpC,-3874022885979025724
BMG  52,86.48625,-67.79805555555555,OpC,7447212652839532277
BMG  57,86.51583333333333,-68.11194444444443,OpC,7943632593087885524
BMG 107,87.44041666666666,-68.04833333333333,OpC,-2272430511532823704
BMG 180,89.34666666666668,-67.51333333333334,OpC,2472964976049412226
BMG 171,88.94541666666667,-67.81444444444445,OpC,6958652982223838613
BMG 209,90.53041666666668,-67.45472222222223,OpC,2003551881069544626
BMG 127,88.00250000000001,-67.40416666666667,OpC,-5778415812361424659
BMG 145,88.27833333333332,-67.41861111111112,OpC,-5957794759949372856
KMHK 1181,84.704,-70.71375,OpC,-7445847376100265646
NAME SH 2-106 IR Cluster,306.8458333333333,37.38,OpC,-3430398101141967148
KMHK  314,74.09525000000001,-68.9678638888889,OpC,3558844344020303218
[GKK2003] O161,85.37500000000001,-69.56666666666666,OpC,-5321230966706451321
C 1832+051,278.725,5.15,OpC,-6135558648004404942
NAME IRAS 02054+6011 Stellar Group,32.25416666666666,60.42166666666667,OpC,7095994719778478850
NAME IRAS 02497+6217 Stellar Group,43.43333333333334,62.49,OpC,7224140884180044511
C 1806-240,272.4625,-23.828333333333333,OpC,347949416142854671
[KPS2012] MWSC 1644,139.05,-36.615,OpC,2334080648030899601
[KPS2012] MWSC 3034,285.135,-0.47,OpC,2931483587463075570
NGC   371,15.854166666666668,-72.07333333333332,OpC,7869900595808055338
NGC   422,17.35208333333333,-71.76638888888888,OpC,-8858858361807820285
[RZ2005]  22,10.052791666666668,-72.69858333333333,OpC,240581258548220554
NGC  2116,86.81308333333332,-68.50798055555555,OpC,-8114792741323699786
[RZ2005] 173,17.057375,-73.25750000000001,OpC,-929719974478696318
KMHK  984,82.44166666666668,-71.0,OpC,-6433465586613046375
[MCM2005b] 43,210.11666666666667,-60.98833333333334,OpC,-5537210185081035329
[MCM2005b] 45,211.39166666666665,-62.09,OpC,-3337346105898829814
[MCM2005b] 48,211.9708333333333,-61.29833333333333,OpC,-4157237544325926598
[MCM2005b] 67,239.6375,-53.973333333333336,OpC,6119233520172022984
[MCM2005b] 73,243.0041666666667,-51.36833333333333,OpC,-4678491550640505837
[MCM2005b] 82,253.2333333333333,-44.43333333333333,OpC,6468132369469419693
[MCM2005b] 84,256.1583333333333,-42.303333333333335,OpC,7448708287898534334
[MCM2005b] 85,256.0916666666666,-42.25166666666667,OpC,-4722732844451265118
[MCM2005b] 11,281.67083333333323,-2.735,OpC,-4353333316365578910
[MCM2005b] 12,281.94999999999993,-1.9416666666666664,OpC,1593241509542667707
[HS66]  14,69.0,-67.73333333333333,OpC,3922206000923273589
NGC  5120,201.41251,-63.46667,OpC,-1411296115642381711
KMHK  284,73.8375,-69.94166666666668,OpC,4948601560413395806
[GKK2003] O121,81.8,-70.56666666666666,OpC,-9038620322074116480
[HS66] 339,82.94166666666666,-67.3,OpC,-1464987047390047228
[GKK2003] O168,84.325,-69.31666666666666,OpC,-6822004709428557149
[GKK2003] O232,85.575,-67.4,OpC,-3134218553255989547
BMG  12,85.87083333333334,-67.44833333333334,OpC,5700440020115548065
BMG  32,86.20416666666668,-67.32833333333333,OpC,-5128109066648771005
BMG  85,86.90833333333333,-68.27833333333334,OpC,5269728711395073997
BMG  65,86.57083333333333,-67.49833333333333,OpC,2374622889373819646
BMG 203,90.24583333333334,-67.66833333333334,OpC,-5362626797698607950
BMG 111,87.59583333333333,-67.38333333333334,OpC,-3263061751974894074
BMG 197,90.0875,-67.62666666666667,OpC,-7645187270502117393
BMG 265,93.49166666666666,-68.20833333333334,OpC,-8185836477559005272
NAME SBB 3,334.10041666666666,55.62694444444445,OpC,-7148175457438462370
KMHK  148,72.79599999999999,-67.5336138888889,OpC,-7952703981762501336
NAME Sgr 1900+14 Star Cluster,286.80833333333334,9.321666666666667,OpC,-2461744675147581154
BMG  34,86.208,-67.77945833333332,OpC,6689331526140552463
[FSR2007] 1336,119.86166666666666,-30.72472222222222,OpC,-7994001611851919907
KMHK  765,79.84166666666667,-67.22666666666667,OpC,-6092661481762637475
KMHK 1251,85.52854166666668,-68.36376944444444,OpC,-5225511694233048609
BRHT 38a,82.965625,-67.99005833333332,OpC,-1390508783004750618
[FSR2007] 0294,316.68708333333336,50.85694444444445,OpC,-8933338660206340984
[FSR2007] 0679,52.98166666666667,37.364444444444445,OpC,6760970097040053346
[KPS2012] MWSC 0025,3.736,61.471,OpC,6026910678571843445
UBC 591,325.003,49.324,OpC,6590815958019617754
KMHK 1116,83.73166666666665,-71.48175,OpC,-7516055442345255841
[HS66]  29,72.1,-69.01666666666667,OpC,5446329975723666059
[HS66]   9,68.275,-66.7,OpC,2047905370337492173
KMHK 1010,82.92583333333334,-66.26593055555556,OpC,-6661253561136550010
[HS66] 346,82.99816666666666,-69.37209999999999,OpC,-2100002957988550510
