r_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,sb_disk,sb_bulge,galaxy,source_type,dist,inc,lum,type
11.1,140.0,4.0,11.8,64.24,0.0,1.77,0.0,F571-8,LTG,,,,
15.55,144.0,5.0,11.28,55.43,0.0,0.0,0.0,F571-8,LTG,,,,
1.95,32.0,10.0,7.85,23.82,0.0,23.44,0.0,F571-V1,LTG,,,,
3.88,57.6,10.0,15.1,35.57,0.0,10.77,0.0,F571-V1,LTG,,,,
5.83,70.9,7.0,20.84,33.21,0.0,4.16,0.0,F571-V1,LTG,,,,
7.78,77.0,6.0,25.68,32.58,0.0,2.09,0.0,F571-V1,LTG,,,,
9.72,82.5,6.0,29.5,31.97,0.0,1.23,0.0,F571-V1,LTG,,,,
11.66,84.3,6.0,30.81,29.08,0.0,0.46,0.0,F571-V1,LTG,,,,
13.59,83.9,6.0,28.8,26.58,0.0,0.0,0.0,F571-V1,LTG,,,,
0.47,15.3,4.4,0.25,12.99,0.0,104.59,0.0,F574-1,LTG,,,,
1.41,41.0,4.36,0.88,32.88,0.0,69.17,0.0,F574-1,LTG,,,,
2.35,60.7,4.4,1.88,41.13,0.0,36.87,0.0,F574-1,LTG,,,,
3.29,74.9,4.4,3.41,42.43,0.0,24.85,0.0,F574-1,LTG,,,,
