pl_name,pl_masse,pl_orbsmax
"HATS-11 b",270.15550000,0.0461400000
"GJ 436 b",22.10000000,0.0291000000
"WASP-43 b",572.10000000,0.0140000000
"WASP-8 b",699.20000000,0.0800000000
"WASP-77 A b",572.10000000,0.0240000000
"WASP-80 b",174.80000000,0.0340000000
"GJ 436 b",23.20100000,0.0290000000
"HAT-P-20 b",2320.10000000,0.0360000000
"HAT-P-2 b",2828.60000000,0.0680000000
"HD 189733 b",349.60000000,0.0310000000
"HD 209458 b",219.29000000,0.0470000000
"WASP-10 b",1017.00000000,0.0380000000
"WASP-18 b",3241.70000000,0.0200000000
"WASP-38 b",858.10000000,0.0760000000
"WASP-28 b",288.26000000,0.0446900000
"HAT-P-23 b",658.00000000,0.0230200000
"WASP-48 b",288.00000000,0.0332000000
"WASP-6 b",154.14755000,0.0414000000
"WASP-80 b",170.99254000,0.0344000000
"Qatar-1 b",405.23325000,0.0229800000
"Qatar-1 b",410.95419000,0.0231300000
"HAT-P-30 b",232.96939000,0.0419000000
"WASP-28 b",294.62841000,0.0446400000
"WASP-36 b",729.41985000,0.0264100000
"WASP-39 b",89.94589000,0.0485800000
"HAT-P-13 b",285.72917000,0.0438300000
"TrES-4 b",157.00802000,0.0516000000
"KELT-14 b",408.09372000,0.0300500000
"WASP-121 b",375.99289000,0.0254400000
"WASP-140 b",775.50520000,0.0323000000
"Qatar-1 b",422.71390000,0.0234300000
"WASP-3 b",629.30340000,0.0315000000
"WASP-127 b",57.20940000,0.0520000000
"WASP-3 b",559.38080000,0.0317000000
"KELT-16 b",874.03250000,0.0204400000
"GJ 436 b",23.10000000,0.0287200000
"KELT-11 b",61.97685000,0.0622900000
"KELT-9 b",915.35040000,0.0346200000
"WASP-107 b",38.13960000,0.0550000000
"WASP-10 b",940.77680000,0.0369000000
"WASP-107 b",37.82177000,0.0553000000
"WASP-49 b",126.81417000,0.0387300000
"PDS 70 b",2542.64000000,22.0000000000
"OGLE-2012-BLG-0724L b",150.00000000,1.6000000000
"HD 149026 b",113.14748000,0.0428800000
"HD 189733 b",365.50450000,0.0314200000
"HD 209458 b",226.93062000,0.0474700000
"WASP-67 b",133.48300000,0.0517000000
"XO-1 b",292.39100000,0.0490000000
"HD 80606 b",1252.20000000,0.4490000000
"HD 149026 b",116.95700000,
"TrES-2 b",398.24099000,0.0363500000
"HAT-P-2 b",2777.83420000,0.0674000000
"GJ 436 b",23.42407100,0.0288700000
"HAT-P-1 b",166.54292000,0.0553500000
"TrES-1 b",241.86863000,0.0394600000
"TrES-3 b",607.05530000,0.0228300000
"TrES-4 b",278.73691000,0.0496500000
"WASP-10 b",1004.34280000,0.0378000000
"WASP-18 b",3270.47070000,0.0203400000
"WASP-5 b",497.40395000,0.0271400000
"XO-1 b",293.67492000,0.0494400000
"XO-2 N b",176.39565000,0.0364700000
"XO-3 b",3759.92890000,0.0452900000
"WASP-1 b",273.33380000,0.0389800000
"WASP-2 b",269.20201000,0.0303300000
"WASP-3 b",654.72980000,0.0318700000
"WASP-4 b",393.15571000,0.0230700000
"XO-4 b",483.41943000,0.0547500000
"WASP-52 b",146.20000000,0.0272000000
"WASP-77 A b",559.36000000,0.0240000000
"WASP-64 b",403.94500000,0.0264800000
"WASP-72 b",491.37630000,0.0370800000
"WASP-80 b",176.07000000,0.0346000000
"KELT-3 b",469.41500000,0.0412200000
"CoRoT-2 b",1102.82000000,0.0279800000
"XO-4 b",565.71000000,
"WASP-38 b",861.31930000,0.0758000000
"HAT-P-7 b",564.44200000,0.0377000000
"WASP-65 b",492.62000000,0.0334000000
"WASP-75 b",340.06000000,0.0375000000
"WASP-4 b",386.48128000,
"WASP-103 b",473.54700000,0.0198500000
"KELT-6 b",136.66100000,0.0793900000
"WASP-1 b",271.41500000,0.0388900000
"WASP-34 b",181.16310000,
"WASP-8 b",711.93920000,
"HAT-P-13 b",285.72917000,
"HAT-P-22 b",685.55931000,
"HAT-P-2 b",3175.12170000,
"HAT-P-30 b",230.74458000,
"HAT-P-32 b",251.08570000,
"HAT-P-33 b",206.58950000,
"HAT-P-34 b",1249.07190000,
"HAT-P-4 b",203.09337000,
"HAT-P-6 b",351.83781000,
"HAT-P-8 b",414.45032000,
"HD 149026 b",102.97692000,
"TrES-3 b",513.29545000,
"TrES-4 b",267.93069000,
"WASP-10 b",1071.08710000,
"WASP-11 b",161.77547000,
"WASP-12 b",441.78370000,
"WASP-14 b",2479.07400000,
"WASP-15 b",179.89178000,
"WASP-16 b",268.88418000,
"WASP-17 b",168.13207000,
"WASP-18 b",3327.68010000,
"TOI-6695 b",66.74396547,0.4020000000
"WASP-14 b",2333.00000000,0.0360000000
"MASCARA-1 b",1175.97100000,0.0430000000
"KELT-20 b",1074.90106000,0.0542000000
"WASP-5 b",502.15000000,0.0268300000
"TrES-2 b",380.76034000,
"HD 209458 b",217.71355000,
"HAT-P-3 b",190.38017000,
"TrES-2 b",380.76034000,
"TrES-2 b",457.67520000,0.0350300000
"WASP-103 b",467.21010000,0.0197900000
"HAT-P-7 b",534.59006000,0.0367600000
"WASP-19 b",339.76027000,0.0163400000
"WASP-7 b",305.11680000,0.0618000000
"WASP-17 b",151.60491000,0.0512500000
"WASP-17 b",154.46538000,0.0515000000
"TrES-2 b",382.03166000,0.0356300000
"XO-1 b",286.04700000,
"WASP-15 b",188.15536000,0.0516500000
"WASP-16 b",264.43456000,0.0415000000
"WASP-24 b",352.47347000,0.0363500000
"WASP-26 b",324.18660000,0.0396600000
"Qatar-1 b",411.27202000,0.0233200000
"WASP-12 b",467.21010000,0.0234000000
"HD 209458 b",235.19420000,0.0490000000
"WASP-17 b",154.46538000,0.0513000000
"XO-3 b",3747.06000000,0.0454000000
"WASP-131 b",85.81410000,0.0607000000
"Qatar-2 b",826.35800000,0.0216000000
"Qatar-2 b",783.76878000,0.0213600000
"WASP-11 b",154.77700000,0.0435000000
"KELT-20 b",5403.11000000,0.0570000000
"HAT-P-7 b",584.80720000,
"TrES-2 b",473.56670000,
"HAT-P-2 b",3632.79690000,
"HAT-P-30 b",263.79890000,
"HAT-P-32 b",263.79890000,
"HAT-P-33 b",292.40360000,
"HAT-P-34 b",2227.98830000,
"HAT-P-15 b",616.59020000,
"HAT-P-22 b",785.04010000,
"HAT-P-23 b",425.89220000,
"TrES-1 b",266.97720000,
"TrES-4 b",247.90740000,
"HAT-P-3 b",206.58950000,
"HAT-P-5 b",311.47340000,
"HAT-P-6 b",419.53560000,
"HD 149026 b",120.77540000,
"HD 189733 b",359.14790000,
"HD 209458 b",232.01590000,
"HD 80606 b",1392.09540000,
"WASP-11 b",251.08570000,
"WASP-12 b",416.35730000,
"WASP-13 b",114.41880000,
"WASP-14 b",2809.61720000,
"WASP-15 b",171.62820000,
"WASP-16 b",394.10920000,
"WASP-17 b",247.90740000,
"WASP-18 b",3635.97520000,
"WASP-4 b",375.03940000,
"WASP-50 b",524.41950000,
"WASP-6 b",117.59710000,
"WASP-7 b",397.28750000,
"WASP-8 b",807.28820000,
"XO-1 b",263.79890000,
"WASP-24 b",394.10920000,
"WASP-26 b",270.15550000,
"WASP-29 b",73.10090000,
"WASP-32 b",835.89290000,
"WASP-33 b",371.86110000,
"WASP-34 b",177.98480000,
"WASP-35 b",225.65930000,
"WASP-38 b",1093.33520000,
"WASP-3 b",772.32690000,
"WASP-18 b",3241.84975140,0.0202400000
"WASP-19 b",366.77398168,0.0165200000
"WASP-77 A b",529.81995447,0.0233500000
"WASP-28 b",282.54945382,0.0442000000
"HD 86226 b",143.02350000,2.7300000000
"GJ 436 b",21.67600600,
"HAT-P-12 b",66.39468700,
"HAT-P-15 b",649.32669000,
"WASP-19 b",356.92309000,
"WASP-1 b",251.08570000,
"WASP-24 b",355.65177000,
