LID,m_LID,U-B20,B-V20,V-r20,n_Nobs,Nobs,Vmag,ref
1.0022493,,0.07,0.67,0.58,,3,,9001
1.0022493,,,0.67,0.58,,10,5.71,9007
1.00224959,,0.47,1.07,0.7,,3,,9004
1.00257925,,0.08,0.47,0.39,,7,10.64,9005
1.10135722,,0.66,0.95,0.69,,1,,9001
1.10161797,,,0.74,0.58,,4,3.47,9007
1.20135722,,0.0,0.59,0.46,,1,,9001
2.26320253,,,0.96,0.66,,5,,9003
2.26320283,,,1.01,0.67,,7,,9003
2.26320428,,,0.96,0.66,,7,,9003
2.26321133,,,0.68,0.5,,7,,9003
2.26820084,,,1.07,0.77,,4,,9003
2.26820105,,,1.24,0.89,,5,,9003
2.26820108,,,1.32,0.99,,4,,9003
2.26820141,,,1.11,0.76,,5,,9003
2.26820151,,,1.08,0.75,,5,,9003
2.26820164,,,1.11,0.77,,5,,9003
2.2682017,,,1.32,0.96,,5,,9003
2.26820223,,,1.08,0.75,,5,,9003
2.26820224,,,1.09,0.75,,3,,9003
2.26820244,,,0.93,0.65,,4,,9003
2.26820266,,,1.11,0.74,,4,,9003
2.26822793,,,1.43,1.06,,4,,9003
2.26823153,,,1.06,0.75,,1,,9003
2.26823465,,,1.43,1.16,,4,,9003
2.26823533,,,1.07,0.77,,3,,9003
5.20200044,,0.12,0.6,0.49,,2,,9001
5.20200044,,,0.6,0.48,,0,,9002
5.20200044,,,0.6,0.48,,20,4.06,9007
5.20250001,,,,0.45,,2,7.38,9007
5.20250002,,,,0.47,,2,7.77,9007
5.20250005,,,,0.71,,4,9.37,9007
5.20250007,,,,0.67,,2,8.97,9007
5.20250014,,,,0.29,,2,5.7,9007
5.20250015,,,,0.49,,2,8.0,9007
5.20250017,,,,0.52,,1,8.44,9007
5.20250019,,,,0.39,,2,7.06,9007
5.20250025,,,,0.75,,5,9.58,9007
5.20250026,,,,0.56,,2,8.63,9007
5.20250027,,,,0.55,,4,8.45,9007
5.20250028,,,0.98,0.69,,9,,9003
5.2025003,,,,0.22,,2,5.58,9007
5.20250035,,,,0.34,,2,6.77,9007
5.20250037,,,,0.33,,3,6.57,9007
5.2025004,,,,0.44,,2,6.93,9007
5.20250041,,,0.98,0.68,,9,,9003
5.20250042,,,,0.56,,2,8.85,9007
5.20250043,,,,0.7,,14,9.36,9007
5.20250045,,,,0.22,,2,5.64,9007
5.20250046,,,,0.65,,4,9.08,9007
5.20250047,,,,0.12,,1,4.83,9007
5.20250048,,,,0.41,,2,7.1,9007
5.2025005,,,,0.48,,2,7.56,9007
5.20250053,,,,0.31,,3,5.96,9007
5.20250054,,,,0.09,,1,4.25,9007
5.20250055,,,,0.2,,2,5.29,9007
5.20250056,,,,0.03,,2,4.33,9007
5.20250068,,,,0.27,,2,5.89,9007
5.20250069,,,,0.55,,2,8.62,9007
5.2025007,,,1.02,0.71,,0,,9002
5.2025007,,,1.01,0.7,,19,,9003
5.20250071,,,0.94,0.68,,6,,9003
5.20250072,,,,0.14,,1,3.41,9007
5.20250073,,,,0.47,,2,7.81,9007
5.20250079,,,,0.62,,4,8.94,9007
5.20250081,,,,0.39,,2,7.08,9007
5.20250089,,,,0.27,,2,5.97,9007
5.20250096,,,,0.65,,2,8.53,9007
5.20250097,,,,0.47,,2,7.87,9007
5.20250104,,,,0.08,,2,4.3,9007
5.20250109,,,,0.59,,4,9.36,9007
5.20250126,,,,0.23,,2,6.34,9007
5.2025013,,,,0.17,,2,5.44,9007
5.20250142,,,,0.5,,2,8.26,9007
5.20250151,,,,0.73,,4,9.88,9007
5.2025017,,,,0.94,,4,10.22,9007
5.20250174,,,,0.82,,5,9.99,9007
5.20250175,,,,0.81,,6,10.25,9007
5.20250177,,,,0.9,,5,10.43,9007
5.20250183,,,,0.68,,5,9.64,9007
5.20250187,,,,0.57,,4,8.96,9007
5.20253202,,,,1.25,,3,11.13,9007
5.20253222,,,,0.84,,10,10.1,9007
5.20253247,,,,1.24,,3,11.92,9007
5.2025326,,,,1.34,,2,12.59,9007
5.20253283,,,,1.33,,2,12.28,9007
5.20253286,,,,1.06,,2,11.0,9007
5.20253288,,,,1.05,,2,10.99,9007
5.20253303,,,,1.15,,2,11.49,9007
5.20253326,,,,1.06,,3,10.93,9007
5.20253337,,,,0.9,,4,9.53,9007
5.20253357,,,,0.95,,2,10.96,9007
